Year,Team,FR TD,SFTY,INT TD
1970,Bengals,3,0,0
1970,Vikings,3,0,2
1970,Falcons,2,0,0
1970,Oilers,1,1,0
1970,Chiefs,1,0,1
1970,Rams,1,0,2
1970,Saints,1,0,0
1970,Eagles,1,0,0
1970,Cardinals,1,0,2
1970,Chargers,1,1,0
1970,Bills,0,0,2
1970,Bears,0,0,0
1970,Browns,0,3,3
1970,Cowboys,0,0,0
1970,Broncos,0,2,0
1970,Lions,0,0,4
1970,Packers,0,0,1
1970,Colts,0,0,3
1970,Raiders,0,0,0
1970,Dolphins,0,0,1
1970,Patriots,0,0,0
1970,Giants,0,1,0
1970,Jets,0,1,2
1970,Steelers,0,0,1
1970,49ers,0,2,2
1970,Redskins,0,0,0
1971,Falcons,2,1,1
1971,Bears,2,0,0
1971,Lions,2,1,3
1971,Oilers,2,0,5
1971,Giants,2,0,1
1971,49ers,2,0,0
1971,Bills,1,1,0
1971,Bengals,1,0,2
1971,Browns,1,1,0
1971,Cowboys,1,1,0
1971,Colts,1,1,1
1971,Rams,1,0,2
1971,Raiders,1,0,2
1971,Vikings,1,2,1
1971,Eagles,1,0,1
1971,Chargers,1,1,2
1971,Redskins,1,0,5
1971,Broncos,0,1,1
1971,Packers,0,1,0
1971,Chiefs,0,0,3
1971,Dolphins,0,0,0
1971,Patriots,0,0,2
1971,Saints,0,0,1
1971,Jets,0,0,0
1971,Cardinals,0,0,1
1971,Steelers,0,0,1
1972,Vikings,2,0,2
1972,Saints,2,1,0
1972,Falcons,1,2,1
1972,Browns,1,0,1
1972,Cowboys,1,2,1
1972,Packers,1,1,1
1972,Raiders,1,0,1
1972,Dolphins,1,0,1
1972,Cardinals,1,0,0
1972,Steelers,1,1,1
1972,49ers,1,0,3
1972,Redskins,1,1,1
1972,Bills,0,0,3
1972,Bears,0,0,0
1972,Bengals,0,1,3
1972,Broncos,0,0,0
1972,Lions,0,0,1
1972,Oilers,0,0,0
1972,Colts,0,0,1
1972,Chiefs,0,0,5
1972,Rams,0,1,1
1972,Patriots,0,0,0
1972,Giants,0,0,2
1972,Jets,0,0,0
1972,Eagles,0,1,0
1972,Chargers,0,1,1
1973,Redskins,2,0,4
1973,Bears,1,0,0
1973,Bengals,1,0,0
1973,Browns,1,0,1
1973,Broncos,1,1,2
1973,Chiefs,1,0,1
1973,Raiders,1,0,0
1973,Dolphins,1,1,2
1973,Vikings,1,1,2
1973,Jets,1,0,2
1973,Eagles,1,0,1
1973,Steelers,1,1,3
1973,Chargers,1,0,1
1973,49ers,1,1,0
1973,Falcons,0,1,2
1973,Bills,0,0,1
1973,Cowboys,0,2,2
1973,Lions,0,0,1
1973,Packers,0,0,3
1973,Oilers,0,0,0
1973,Colts,0,0,1
1973,Rams,0,3,1
1973,Patriots,0,1,0
1973,Saints,0,0,0
1973,Giants,0,0,0
1973,Cardinals,0,0,0
1974,Eagles,3,0,1
1974,Raiders,2,1,1
1974,Bills,1,1,2
1974,Bengals,1,1,0
1974,Browns,1,0,2
1974,Packers,1,1,1
1974,Oilers,1,0,1
1974,Vikings,1,1,0
1974,Giants,1,0,0
1974,Cardinals,1,0,2
1974,Steelers,1,1,2
1974,Chargers,1,0,0
1974,49ers,1,0,1
1974,Redskins,1,0,2
1974,Falcons,0,0,1
1974,Bears,0,0,0
1974,Cowboys,0,1,0
1974,Broncos,0,0,1
1974,Lions,0,1,2
1974,Colts,0,0,0
1974,Chiefs,0,1,5
1974,Rams,0,0,2
1974,Dolphins,0,1,0
1974,Patriots,0,0,2
1974,Saints,0,0,1
1974,Jets,0,0,2
1975,Browns,2,1,1
1975,Oilers,2,2,0
1975,Vikings,2,2,0
1975,Saints,2,0,0
1975,49ers,2,0,1
1975,Redskins,2,0,0
1975,Bills,1,0,2
1975,Broncos,1,0,1
1975,Lions,1,2,1
1975,Packers,1,3,0
1975,Colts,1,1,4
1975,Chiefs,1,0,0
1975,Patriots,1,0,1
1975,Steelers,1,1,0
1975,Falcons,0,0,2
1975,Bears,0,1,2
1975,Bengals,0,0,2
1975,Cowboys,0,0,3
1975,Rams,0,1,2
1975,Raiders,0,2,0
1975,Dolphins,0,1,0
1975,Giants,0,0,0
1975,Jets,0,0,0
1975,Eagles,0,0,2
1975,Cardinals,0,0,1
1975,Chargers,0,0,0
1976,Bengals,2,1,3
1976,Broncos,2,0,4
1976,Saints,2,0,3
1976,Bills,1,0,1
1976,Browns,1,1,1
1976,Oilers,1,0,0
1976,Colts,1,1,0
1976,Jets,1,0,0
1976,49ers,1,2,0
1976,Buccaneers,1,0,0
1976,Redskins,1,1,0
1976,Falcons,0,1,0
1976,Bears,0,2,2
1976,Cowboys,0,2,0
1976,Lions,0,0,3
1976,Packers,0,1,2
1976,Chiefs,0,1,0
1976,Rams,0,0,3
1976,Raiders,0,1,0
1976,Dolphins,0,0,0
1976,Vikings,0,0,0
1976,Patriots,0,0,3
1976,Giants,0,0,0
1976,Eagles,0,0,0
1976,Cardinals,0,0,1
1976,Steelers,0,1,0
1976,Chargers,0,0,1
1976,Seahawks,0,1,1
1977,Oilers,3,3,1
1977,Chiefs,3,0,2
1977,Falcons,1,0,2
1977,Bills,1,1,1
1977,Cowboys,1,0,1
1977,Lions,1,1,1
1977,Colts,1,1,0
1977,Raiders,1,0,0
1977,Vikings,1,1,0
1977,Saints,1,1,1
1977,Cardinals,1,0,1
1977,Chargers,1,0,2
1977,Buccaneers,1,0,3
1977,Bears,0,0,0
1977,Bengals,0,0,2
1977,Browns,0,1,3
1977,Broncos,0,0,2
1977,Packers,0,0,1
1977,Rams,0,0,1
1977,Dolphins,0,0,0
1977,Patriots,0,1,0
1977,Giants,0,0,2
1977,Jets,0,1,1
1977,Eagles,0,0,0
1977,Steelers,0,0,0
1977,49ers,0,0,0
1977,Seahawks,0,0,1
1977,Redskins,0,0,0
1978,Raiders,3,1,1
1978,Broncos,2,1,1
1978,Bengals,1,2,3
1978,Lions,1,0,1
1978,Colts,1,1,2
1978,Rams,1,0,5
1978,Dolphins,1,2,2
1978,Vikings,1,0,0
1978,Giants,1,0,1
1978,Eagles,1,0,2
1978,Steelers,1,0,0
1978,Redskins,1,0,0
1978,Falcons,0,2,0
1978,Bills,0,1,1
1978,Bears,0,1,1
1978,Browns,0,0,1
1978,Cowboys,0,1,0
1978,Packers,0,0,2
1978,Oilers,0,0,0
1978,Chiefs,0,1,0
1978,Patriots,0,2,1
1978,Saints,0,1,1
1978,Jets,0,0,1
1978,Cardinals,0,1,0
1978,Chargers,0,0,2
1978,49ers,0,0,1
1978,Seahawks,0,1,1
1978,Buccaneers,0,0,0
1979,Broncos,3,1,0
1979,Bengals,2,0,1
1979,Cardinals,2,0,1
1979,Buccaneers,2,0,1
1979,Falcons,1,1,2
1979,Bills,1,0,2
1979,Cowboys,1,2,0
1979,Lions,1,1,1
1979,Packers,1,0,0
1979,Oilers,1,0,1
1979,Rams,1,1,2
1979,Raiders,1,0,3
1979,Giants,1,1,1
1979,Chargers,1,2,2
1979,Seahawks,1,1,1
1979,Redskins,1,0,1
1979,Bears,0,1,2
1979,Browns,0,0,1
1979,Colts,0,0,1
1979,Chiefs,0,0,1
1979,Dolphins,0,1,0
1979,Vikings,0,0,0
1979,Patriots,0,1,1
1979,Saints,0,1,2
1979,Jets,0,1,2
1979,Eagles,0,0,0
1979,Steelers,0,0,1
1979,49ers,0,0,0
1980,Falcons,3,1,0
1980,Chiefs,3,0,2
1980,Raiders,3,1,2
1980,Patriots,2,0,1
1980,Buccaneers,2,0,1
1980,Bears,1,1,1
1980,Cowboys,1,1,3
1980,Broncos,1,1,2
1980,Oilers,1,0,0
1980,Dolphins,1,0,0
1980,Saints,1,0,0
1980,Jets,1,1,2
1980,Eagles,1,0,0
1980,Bills,0,2,2
1980,Bengals,0,2,2
1980,Browns,0,0,0
1980,Lions,0,1,1
1980,Packers,0,0,0
1980,Colts,0,0,1
1980,Rams,0,0,4
1980,Vikings,0,1,2
1980,Giants,0,0,0
1980,Cardinals,0,0,1
1980,Steelers,0,2,0
1980,Chargers,0,0,2
1980,49ers,0,1,0
1980,Seahawks,0,0,0
1980,Redskins,0,0,1
1981,Falcons,3,0,3
1981,Chiefs,3,0,1
1981,Giants,3,0,1
