Year,Team,Rsh TD,Rec TD,Tot TD,2-PT
1970,Cardinals,18,16,37,0
1970,Broncos,17,11,28,0
1970,Bengals,16,12,31,0
1970,Cowboys,16,18,35,0
1970,Lions,16,19,41,0
1970,Vikings,16,12,32,0
1970,Browns,14,17,35,0
1970,Dolphins,14,15,33,0
1970,Steelers,13,12,26,0
1970,49ers,13,25,41,0
1970,Rams,12,17,33,0
1970,Chiefs,11,13,25,0
1970,Patriots,11,7,18,0
1970,Giants,11,19,32,0
1970,Jets,11,14,28,0
1970,Eagles,11,16,28,0
1970,Redskins,11,23,34,0
1970,Oilers,10,12,22,0
1970,Colts,9,23,38,0
1970,Chargers,9,24,34,0
1970,Bills,8,13,25,0
1970,Packers,8,11,22,0
1970,Raiders,7,28,36,0
1970,Falcons,4,18,24,0
1970,Saints,4,11,16,0
1970,Bears,3,21,28,0
1971,Cowboys,25,22,49,0
1971,Colts,23,10,35,0
1971,Browns,19,14,33,0
1971,Raiders,19,21,42,0
1971,Packers,18,12,33,0
1971,Saints,18,12,31,0
1971,Lions,15,17,37,0
1971,Rams,15,18,36,0
1971,Bengals,14,15,31,0
1971,Chiefs,14,15,32,0
1971,Vikings,14,9,24,0
1971,Falcons,12,16,32,0
1971,Jets,12,15,27,0
1971,49ers,12,18,31,0
1971,Dolphins,11,20,33,0
1971,Giants,11,14,28,0
1971,Chargers,11,23,36,0
1971,Oilers,10,12,27,0
1971,Steelers,10,15,28,0
1971,Broncos,9,8,18,0
1971,Cardinals,8,14,24,0
1971,Redskins,8,13,26,0
1971,Patriots,7,19,29,0
1971,Bills,6,12,20,0
1971,Bears,6,12,18,0
1971,Eagles,6,13,23,0
1972,Dolphins,26,17,44,0
1972,Steelers,22,12,36,0
1972,Lions,20,19,40,0
1972,Raiders,20,23,44,0
1972,Jets,18,21,41,0
1972,Cowboys,17,16,35,0
1972,Broncos,17,19,38,0
1972,Packers,17,7,28,0
1972,Rams,17,13,31,0
1972,Redskins,17,21,41,0
1972,Falcons,16,13,30,0
1972,Bengals,16,10,31,0
1972,Giants,16,20,39,0
1972,Bears,15,9,27,0
1972,Browns,13,13,28,0
1972,Patriots,13,10,24,0
1972,Chargers,12,15,30,0
1972,Bills,11,16,30,0
1972,Vikings,11,19,32,0
1972,49ers,11,27,42,0
1972,Colts,10,15,28,0
1972,Cardinals,9,11,21,0
1972,Oilers,7,10,18,0
1972,Chiefs,6,20,32,0
1972,Saints,5,18,24,0
1972,Eagles,2,10,12,0
1973,Bills,20,4,28,0
1973,Falcons,18,14,34,0
1973,Rams,18,22,42,0
1973,Cowboys,17,26,46,0
1973,Lions,17,12,30,0
1973,Broncos,16,22,40,0
1973,Dolphins,16,17,37,0
1973,Patriots,15,13,31,0
1973,49ers,15,9,25,0
1973,Raiders,14,16,31,0
1973,Vikings,14,16,32,0
1973,Bengals,13,18,31,0
1973,Cardinals,13,16,31,0
1973,Browns,12,10,23,0
1973,Steelers,12,20,36,0
1973,Bears,11,8,21,0
1973,Chiefs,11,10,22,0
