Year,Team,Position,Depth Chart,Name
1970,ATL,DB,DB,Grady Cavness
1970,ATL,DB,SAF,Mike Freeman
1970,ATL,DB,SAF,Al Lavan
1970,ATL,DB,SAF,John Mallory
1970,ATL,DB,SAF,Tom McCauley
1970,ATL,DB,CB,Ken Reaves
1970,ATL,DB,CB,Rudy Redmond
1970,ATL,DL,DT,Glen Condren
1970,ATL,DL,DE,Claude Humphrey
1970,ATL,DL,DT,Greg Lens
1970,ATL,DL,DE,Randy Marshall
1970,ATL,DL,DT,John Small
1970,ATL,DL,DE,Jim Sullivan
1970,ATL,DL,DE,John Zook
1970,ATL,K,K,Ken Vinyard
1970,ATL,LB,OLB,Ron Acks
1970,ATL,LB,OLB,Grady Allen
1970,ATL,LB,LB,Ted Cottrell
1970,ATL,LB,LB,Dean Halverson
1970,ATL,LB,OLB,Don Hansen
1970,ATL,LB,MLB,Tommy Nobis
1970,ATL,OL,OT,Bob Breitenstein
1970,ATL,OL,G,Dick Enderle
1970,ATL,OL,OT,Dave Hettema
1970,ATL,OL,OT,George Kunz
1970,ATL,OL,C,John Matlock
1970,ATL,OL,G,Andy Maurer
1970,ATL,OL,G,Gary Roberts
1970,ATL,OL,OT,Bill Sandeman
1970,ATL,OL,OT,Mal Snider
1970,ATL,OL,C,Jeff Van Note
1970,ATL,QB,QB,Bob Berry
1970,ATL,QB,QB,Randy Johnson
1970,ATL,QB,QB,Billy Lothridge
1970,ATL,RB,RB,Mike Brunson
1970,ATL,RB,RB,Cannonball Butler
1970,ATL,RB,RB,Sonny Campbell
1970,ATL,RB,RB,Paul Gipson
1970,ATL,RB,RB,Art Malone
1970,ATL,RB,RB,Harmon Wages
1970,ATL,TE,TE,Mike Donohoe
1970,ATL,TE,TE,Jim Mitchell
1970,ATL,WR,WR,Gail Cogdill
1970,ATL,WR,WR,Paul Flatley
1970,ATL,WR,WR,Kent Lawrence
1970,ATL,WR,WR,Todd Snyder
1970,BAL,DB,DB,Tom Curtis
1970,BAL,DB,CB,Jim Duncan
1970,BAL,DB,DB,Ron Gardin
1970,BAL,DB,SAF,Jerry Logan
1970,BAL,DB,CB,Tommy Maxwell
1970,BAL,DB,CB,Charlie Stukes
1970,BAL,DB,SAF,Rick Volk
1970,BAL,DL,DT,Jim Bailey
1970,BAL,DL,DE,Roy Hilton
1970,BAL,DL,DT,Fred Miller
1970,BAL,DL,DE,Billy Newsome
1970,BAL,DL,DT,Billy Ray Smith
1970,BAL,DL,DE,Bubba Smith
1970,BAL,DL,DT,George Wright
1970,BAL,LB,MLB,Mike Curtis
1970,BAL,LB,LB,Tom Goode
1970,BAL,LB,OLB,Bob Grant
1970,BAL,LB,OLB,Ted Hendricks
1970,BAL,LB,OLB,Ray May
1970,BAL,LB,LB,Robbie Nichols
1970,BAL,OL,OT,Sam Ball
1970,BAL,OL,C,Bill Curry
1970,BAL,OL,G,Cornelius Johnson
1970,BAL,OL,OT,Dennis Nelson
1970,BAL,OL,G,Glenn Ressler
1970,BAL,OL,OT,Dan Sullivan
1970,BAL,OL,OT,Bob Vogel
1970,BAL,OL,G,John Williams
1970,BAL,P,P,David Lee
1970,BAL,QB,QB,Earl Morrall
1970,BAL,QB,QB,Johnny Unitas
1970,BAL,RB,RB,Norm Bulaich
1970,BAL,RB,RB,Larry Conjar
1970,BAL,RB,RB,Sam Havrilak
1970,BAL,RB,RB,Jerry Hill
1970,BAL,RB,RB,Jack Maitland
1970,BAL,RB,RB,Tom Matte
1970,BAL,RB,FB,Tom Nowatzke
1970,BAL,TE,TE,John Mackey
1970,BAL,TE,TE,Tom Mitchell
1970,BAL,WR,WR,Eddie Hinton
1970,BAL,WR,WR,Roy Jefferson
1970,BAL,WR,WR,Jim O'Brien
1970,BAL,WR,WR,Jimmy Orr
1970,BAL,WR,WR,Ray Perkins
1970,BOS,DB,CB,Randy Beverly
1970,BOS,DB,CB,Larry Carwell
1970,BOS,DB,DB,Tom Janik
1970,BOS,DB,CB,Daryl Johnson
1970,BOS,DB,DB,Art McMahon
1970,BOS,DB,DB,John Outlaw
1970,BOS,DB,SAF,Clarence Scott
1970,BOS,DB,SAF,Don Webb
1970,BOS,DL,DT,Houston Antwine
1970,BOS,DL,DE,Ron Berger
1970,BOS,DL,DT,Jim Hunt
1970,BOS,DL,DE,Ike Lassiter
1970,BOS,DL,DE,Dennis Wirgowski
1970,BOS,DL,DE,Mel Witt
1970,BOS,K,K,Charlie Gogolak
1970,BOS,LB,OLB,Mike Ballou
1970,BOS,LB,OLB,John Bramlett
1970,BOS,LB,MLB,Jim Cheyunski
1970,BOS,LB,LB,Dan Kecman
1970,BOS,LB,OLB,Ed Philpott
1970,BOS,LB,MLB,Marty Schottenheimer
1970,BOS,LB,LB,Fred Whittingham
1970,BOS,LB,LB,J.R. Williamson
1970,BOS,OL,G,Gary Bugenhagen
1970,BOS,OL,OT,Tom Funchess
1970,BOS,OL,OT,Ezell Jones
1970,BOS,OL,G,Angelo Loukas
