Year,Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
1970,Chiefs,30,71.4,26,100,0,0
1970,Vikings,30,65.2,35,100,0,0
1970,Rams,29,64.4,34,100,1,0
1970,Bengals,25,67.6,33,100,1,1
1970,Giants,25,61,32,100,0,1
1970,Dolphins,22,73.3,33,100,1,1
1970,49ers,21,67.7,39,95.1,0,0
1970,Bears,20,58.8,28,100,4,0
1970,Lions,20,69,41,100,1,1
1970,Cardinals,20,62.5,37,97.4,0,1
1970,Redskins,20,74.1,33,97.1,0,0
1970,Colts,19,55.9,36,94.7,1,1
1970,Jets,19,54.3,28,100,0,0
1970,Cowboys,18,66.7,35,100,1,0
1970,Broncos,18,56.2,27,96.4,0,0
1970,Oilers,18,56.2,23,100,0,0
1970,Saints,18,52.9,16,94.1,0,0
1970,Raiders,16,55.2,36,100,0,1
1970,Packers,15,53.6,19,90.5,2,0
1970,Eagles,14,56,25,89.3,0,0
1970,Browns,12,54.6,34,97.1,1,0
1970,Chargers,12,63.2,34,97.1,0,0
1970,Bills,10,52.6,24,96,2,0
1970,Steelers,10,35.7,24,96,0,0
1970,Falcons,9,36,23,88.5,0,2
1970,Patriots,8,36.4,17,94.4,0,0
1971,Redskins,29,59.2,27,100,0,0
1971,Dolphins,28,70,33,100,1,0
1971,Chiefs,26,57.8,32,100,0,0
1971,Broncos,25,65.8,18,100,0,0
1971,49ers,23,63.9,32,100,0,0
1971,Lions,22,59.5,39,100,2,0
1971,Vikings,22,68.8,25,100,0,0
1971,Cardinals,21,65.6,24,100,1,0
1971,Bengals,20,55.6,31,100,0,0
1971,Colts,20,69,35,97.2,0,0
1971,Cowboys,18,54.6,50,100,2,0
1971,Rams,18,62.1,37,100,1,0
1971,Eagles,18,48.6,23,95.8,0,0
1971,Oilers,17,60.7,26,89.7,0,0
1971,Saints,17,60.7,29,93.6,0,0
1971,Steelers,17,63,27,100,0,1
1971,Chargers,17,58.6,36,97.3,0,0
1971,Bears,15,45.4,18,100,0,0
1971,Browns,15,53.6,34,100,0,0
1971,Raiders,15,68.2,41,97.6,0,0
1971,Packers,14,53.8,32,97,1,0
1971,Falcons,13,61.9,29,87.9,0,0
1971,Bills,12,48,20,95.2,0,2
1971,Patriots,12,57.1,28,100,0,0
1971,Jets,8,42.1,25,96.2,0,0
1971,Giants,6,35.3,30,100,1,0
1972,Packers,33,68.8,29,100,0,2
1972,Steelers,28,68.3,35,97.2,0,0
1972,Bengals,27,67.5,30,96.8,0,2
1972,Jets,27,73,40,97.6,0,1
1972,Rams,24,58.5,31,100,0,0
1972,Dolphins,24,64.9,43,95.6,0,0
1972,Browns,22,81.5,28,96.6,0,0
1972,Cowboys,21,58.3,36,100,0,0
1972,Chiefs,21,58.3,32,100,0,0
1972,Vikings,21,63.6,34,100,0,0
1972,Giants,21,67.7,34,89.5,1,0
1972,Broncos,20,69,37,100,1,1
1972,Lions,20,69,38,97.4,0,0
1972,Eagles,20,57.1,11,91.7,0,0
1972,Chargers,18,58.1,28,93.3,0,0
1972,49ers,18,62.1,41,97.6,1,0
1972,Raiders,17,65.4,44,100,0,0
1972,Falcons,16,53.3,31,100,0,0
1972,Bills,16,66.7,29,96.7,0,0
1972,Cardinals,14,63.6,19,90.5,0,0
1972,Redskins,14,46.7,40,97.6,0,0
1972,Oilers,13,61.9,17,94.4,0,0
1972,Colts,13,33.3,28,100,1,0
1972,Bears,12,50,26,100,2,0
1972,Saints,11,44,24,96,0,0
1972,Patriots,8,50,24,100,0,0
1973,Rams,30,63.8,40,95.2,1,0
1973,Steelers,29,67.4,36,97.3,0,0
1973,Falcons,26,68.4,34,100,0,0
1973,49ers,26,78.8,26,100,0,0
1973,Dolphins,25,67.6,38,100,0,0
1973,Chiefs,24,63.2,21,91.3,0,0
1973,Eagles,24,60,34,100,0,0
1973,Raiders,23,69.7,31,100,0,1
1973,Cardinals,23,71.9,31,100,1,0
1973,Browns,22,71,24,100,0,0
1973,Broncos,22,66.7,40,100,0,0
1973,Redskins,22,52.4,37,100,1,0
1973,Bills,21,70,27,100,2,1
1973,Bengals,21,67.7,31,96.9,0,0
1973,Lions,21,63.6,28,100,0,0
1973,Packers,21,60,19,95,0,0
1973,Vikings,21,60,33,100,0,0
1973,Cowboys,19,63.3,45,97.8,0,0
1973,Saints,17,47.2,16,100,0,0
1973,Giants,17,60.7,25,100,0,0
1973,Jets,17,70.8,27,100,1,0
1973,Colts,16,57.1,22,91.7,1,0
1973,Oilers,15,62.5,21,100,1,0
1973,Patriots,15,51.7,25,83.3,1,0
1973,Bears,14,58.3,21,95.4,1,1
1973,Chargers,12,44.4,19,90.5,0,2
1974,Packers,25,64.1,19,100,0,2
1974,Lions,23,71.9,23,88.5,0,0
1974,Steelers,20,69,33,94.3,0,1
1974,Bills,19,57.6,25,86.2,0,0
1974,Redskins,19,61.3,35,92.1,1,1
1974,Chiefs,17,70.8,24,92.3,0,0
1974,Patriots,16,72.7,42,97.7,0,0
1974,Browns,14,87.5,29,96.7,1,0
1974,Cardinals,13,59.1,30,83.3,1,0
1974,Colts,12,60,22,100,0,0
1974,Vikings,12,60,32,82,0,0
1974,Jets,12,66.7,27,81.8,0,0
1974,Bengals,11,61.1,32,91.4,0,2
1974,Broncos,11,52.4,35,92.1,0,0
1974,Raiders,11,64.7,44,95.6,0,0
1974,49ers,11,45.8,25,92.6,0,1
1974,Cowboys,10,47.6,37,97.4,0,1
1974,Giants,10,52.6,21,91.3,0,0
1974,Eagles,10,62.5,26,86.7,0,0
1974,Falcons,9,56.2,12,100,0,1
1974,Bears,9,69.2,17,100,0,0
1974,Oilers,9,47.4,29,100,0,0
1974,Rams,9,56.2,26,76.5,1,0
1974,Saints,9,56.2,19,95,0,0
1974,Dolphins,8,53.3,43,100,0,0
1974,Chargers,6,37.5,26,92.9,0,0
1975,Cowboys,22,62.9,38,95,1,1
1975,Chiefs,22,68.8,30,96.8,0,0
1975,Broncos,21,72.4,23,88.5,0,0
1975,Rams,21,80.8,31,86.1,0,0
1975,Eagles,20,69,21,87.5,0,0
1975,Cardinals,19,79.2,40,97.6,1,1
1975,Oilers,18,60,31,91.2,1,3
1975,Browns,17,73.9,21,87.5,0,0
1975,Steelers,17,81,44,95.6,1,0
1975,Redskins,16,64,37,94.9,0,1
1975,Lions,14,66.7,25,86.2,0,0
1975,49ers,14,50,27,87.1,0,0
1975,Bears,13,56.5,18,81.8,0,0
1975,Raiders,13,61.9,44,91.7,1,0
1975,Dolphins,13,81.2,40,87,0,1
1975,Vikings,13,76.5,46,95.8,0,0
1975,Jets,13,61.9,27,90,0,0
1975,Packers,12,70.6,22,81.5,1,0
1975,Chargers,12,50,20,95.2,0,1
1975,Saints,11,52.4,18,100,0,0
1975,Bengals,10,47.6,40,88.9,0,0
1975,Colts,10,55.6,51,98.1,0,0
1975,Bills,9,56.2,51,89.5,0,0
