PLAYER,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
A D Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Bouye,418.0,346.0,62.0,1.0,0.0,87.0,18.0,259.0,15.2,67.0,1.0,3.0,1.0
A J Duhe,251.0,223.0,16.0,11.5,1.0,13.0,7.0,54.0,6.0,35.0,1.0,5.0,6.0
A J Edds,114.0,70.0,26.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0
A J Epenesa,77.0,42.0,29.0,16.5,0.0,18.0,2.0,38.0,19.0,32.0,1.0,3.0,2.0
A J Francis,57.0,28.0,25.0,2.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0
A J Hawk,1030.0,568.0,325.0,21.0,0.0,38.0,9.0,121.0,13.4,29.0,0.0,3.0,8.0
A J Hendy,30.0,25.0,3.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0
A J Howard,9.0,8.0,1.0,0.0,0.0,2.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0
A J Jefferson,144.0,125.0,11.0,0.0,0.0,24.0,2.0,1.0,0.5,1.0,0.0,0.0,1.0
A J Jimerson,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Johnson,275.0,142.0,116.0,4.5,0.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0
A J Klein,583.0,354.0,181.0,16.0,0.0,26.0,6.0,143.0,23.8,74.0,1.0,8.0,5.0
A J Moore,85.0,49.0,21.0,1.0,0.0,1.0,0.0,0.0,,,0.0,2.0,0.0
A J Nicholson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Tarpley,21.0,15.0,4.0,1.0,0.0,4.0,2.0,40.0,20.0,37.0,0.0,1.0,0.0
A J Terrell,250.0,171.0,65.0,1.0,0.0,43.0,4.0,42.0,10.5,35.0,0.0,4.0,1.0
A J Thomas,25.0,17.0,1.0,0.0,0.0,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0
Aaron Adeoye,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0
Aaron Beasley,468.0,363.0,66.0,8.5,0.0,116.0,27.0,507.0,18.3,93.0,2.0,10.0,6.0
Aaron Berry,52.0,43.0,9.0,0.0,0.0,19.0,1.0,23.0,23.0,23.0,0.0,0.0,0.0
Aaron Crawford,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Curry,303.0,200.0,62.0,6.5,0.0,19.0,1.0,23.0,23.0,23.0,0.0,5.0,6.0
