PLAYER,FGBLK,FGLNG,FGATT,FGM,FGPCT,XPATT,XPM,XPPCT,XPBLK,KO,KOAVG,TB,RET,AVGRET
Aaron Elling,0.0,51.0,30.0,20.0,68.8,52.0,52.0,100.0,0.0,187.0,61.7,3.0,176.0,22.4
Aaron Pettrey,0.0,28.0,5.0,2.0,33.3,6.0,6.0,100.0,0.0,10.0,62.1,1.0,9.0,24.4
Adam Vinatieri,14.0,57.0,837.0,702.0,84.1,1024.0,997.0,96.7,10.0,1178.0,62.9,100.0,1054.0,22.1
Ade Schwammel,0.0,41.0,6.0,4.0,60.0,4.0,3.0,83.3,0.0,0.0,,0.0,0.0,
Adi Kunalic,0.0,38.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,5.0,68.3,0.0,5.0,25.5
Al Del Greco,14.0,56.0,486.0,370.0,74.4,592.0,583.0,98.7,2.0,945.0,56.2,63.0,818.0,19.2
Alan Pringle,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.0,0.0,0.0,0.0,
Aldrick Rosas,3.0,57.0,111.0,92.0,81.5,138.0,129.0,92.2,2.0,306.0,63.0,180.0,114.0,20.1
Alex Henery,0.0,51.0,114.0,90.0,79.9,168.0,167.0,99.5,0.0,323.0,63.1,128.0,186.0,23.9
Alex Kessman,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,4.0,61.5,1.0,3.0,13.0
Ali Haji Sheikh,2.0,56.0,120.0,81.0,64.2,116.0,108.0,91.9,1.0,205.0,59.4,26.0,166.0,20.3
Allan Leavitt,0.0,40.0,20.0,10.0,42.9,10.0,10.0,100.0,0.0,10.0,0.0,0.0,0.0,
Allan Watson,0.0,45.0,10.0,5.0,50.0,8.0,7.0,83.3,1.0,18.0,0.0,0.0,0.0,
Allen Green,2.0,32.0,15.0,5.0,25.0,19.0,19.0,100.0,0.0,5.0,0.0,0.0,0.0,
Anders Carlson,0.0,57.0,40.0,33.0,86.1,56.0,47.0,87.1,2.0,109.0,64.1,48.0,52.0,23.1
Andrew Franks,2.0,55.0,45.0,36.0,82.5,89.0,85.0,95.3,0.0,164.0,63.4,103.0,58.0,21.4
Armand Niccolai,2.0,48.0,45.0,14.0,32.8,49.0,48.0,99.1,0.0,0.0,,0.0,0.0,
Art Michalik,1.0,36.0,13.0,1.0,5.6,15.0,9.0,61.7,3.0,0.0,,0.0,0.0,
Austin MacGinnis,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Austin Seibert,0.0,54.0,71.0,58.0,80.2,73.0,67.0,89.2,0.0,173.0,61.2,65.0,101.0,20.3
Ben Agajanian,14.0,51.0,186.0,97.0,55.1,303.0,295.0,96.6,4.0,29.0,37.4,2.0,0.0,
Benny Ricardo,10.0,48.0,160.0,103.0,62.1,203.0,192.0,94.7,4.0,318.0,13.8,2.0,81.0,19.3
Bill Bell,6.0,41.0,55.0,30.0,50.9,69.0,64.0,89.1,3.0,131.0,0.0,25.0,0.0,
Bill Capece,2.0,51.0,71.0,44.0,60.2,74.0,69.0,92.9,1.0,162.0,58.4,20.0,133.0,21.4
Bill Gramatica,0.0,50.0,48.0,37.0,73.1,61.0,60.0,96.6,0.0,131.0,60.0,9.0,114.0,22.6
Bill McClard,4.0,52.0,51.0,26.0,49.7,32.0,31.0,95.7,0.0,111.0,0.0,16.0,0.0,
Bill Shockley,0.0,0.0,1.0,0.0,0.0,3.0,2.0,66.7,1.0,4.0,0.0,0.0,0.0,
Billy Cundiff,3.0,56.0,330.0,256.0,76.1,369.0,368.0,99.7,1.0,740.0,64.8,267.0,444.0,23.0
Bjorn Nittmo,0.0,39.0,12.0,9.0,69.4,13.0,12.0,83.3,1.0,26.0,54.9,2.0,23.0,17.3
Blair Walsh,5.0,56.0,253.0,203.0,80.0,254.0,242.0,94.4,0.0,583.0,64.5,311.0,265.0,23.9
Blake Grupe,0.0,55.0,43.0,35.0,81.9,41.0,41.0,100.0,0.0,102.0,63.5,79.0,20.0,19.0
Bo Russell,0.0,37.0,7.0,2.0,33.3,28.0,26.0,93.3,1.0,0.0,,0.0,0.0,
Bob Etter,1.0,42.0,51.0,26.0,54.0,52.0,50.0,92.0,2.0,64.0,0.0,9.0,0.0,
Bob Humphreys,2.0,47.0,20.0,8.0,43.7,20.0,19.0,97.2,0.0,39.0,0.0,10.0,0.0,
Bob Khayat,5.0,50.0,74.0,38.0,52.4,92.0,90.0,98.2,1.0,13.0,0.0,0.0,0.0,
Bob Thomas,11.0,55.0,255.0,163.0,60.8,345.0,317.0,91.7,14.0,518.0,17.8,35.0,159.0,17.1
Bob Timberlake,3.0,43.0,15.0,1.0,2.8,22.0,21.0,95.8,1.0,0.0,,0.0,0.0,
Bob deLauer,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Bobby Howfield,8.0,53.0,166.0,98.0,54.9,201.0,193.0,96.0,3.0,386.0,0.0,168.0,0.0,
Booth Lusteg,6.0,48.0,75.0,35.0,49.3,102.0,98.0,96.5,3.0,172.0,1.2,18.0,0.0,
Boris Shlapak,1.0,0.0,8.0,0.0,0.0,4.0,4.0,100.0,0.0,30.0,0.0,4.0,0.0,
Boyd Clay,0.0,21.0,3.0,1.0,33.3,5.0,5.0,100.0,0.0,0.0,,0.0,0.0,
Brad Daluiso,8.0,54.0,181.0,139.0,75.6,174.0,171.0,97.4,1.0,773.0,64.1,263.0,471.0,21.9
Braden Beck,0.0,15.0,2.0,1.0,50.0,2.0,1.0,50.0,0.0,5.0,0.0,1.0,0.0,
Brandon Aubrey,1.0,60.0,42.0,39.0,93.9,63.0,58.0,92.9,0.0,128.0,63.8,115.0,9.0,26.3
Brandon Coutu,0.0,48.0,9.0,8.0,75.0,10.0,10.0,100.0,0.0,18.0,64.8,0.0,18.0,32.1
Brandon McManus,10.0,61.0,387.0,320.0,84.1,381.0,372.0,97.6,1.0,950.0,62.4,633.0,286.0,23.9
Brendan Toibin,0.0,0.0,2.0,0.0,0.0,4.0,4.0,100.0,0.0,5.0,58.8,1.0,4.0,24.0
Brett Conway,3.0,55.0,127.0,99.0,79.6,122.0,121.0,99.7,1.0,316.0,61.4,23.0,283.0,21.5
Brett Maher,4.0,63.0,168.0,132.0,73.8,187.0,174.0,90.3,3.0,351.0,62.7,229.0,113.0,24.9
Brian Franco,0.0,28.0,4.0,3.0,83.4,2.0,2.0,100.0,0.0,3.0,65.7,2.0,1.0,16.0
Brian Gowins,0.0,43.0,6.0,4.0,75.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,
Bruce Alford,4.0,51.0,52.0,31.0,57.1,43.0,41.0,92.5,2.0,101.0,0.0,0.0,0.0,
Bruce Gossett,23.0,54.0,375.0,225.0,61.3,396.0,387.0,97.8,6.0,603.0,2.4,103.0,0.0,
Bruiser Kinard,0.0,22.0,1.0,1.0,100.0,30.0,27.0,89.1,0.0,0.0,,0.0,0.0,
Bud Jorgensen,0.0,18.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,
Cade York,4.0,58.0,47.0,33.0,70.7,50.0,48.0,97.4,0.0,111.0,62.8,66.0,42.0,21.9
Cairo Santos,4.0,58.0,297.0,258.0,88.5,348.0,330.0,95.5,5.0,721.0,62.7,356.0,344.0,23.4
Caleb Shudak,0.0,38.0,4.0,3.0,75.0,1.0,1.0,100.0,0.0,5.0,63.0,4.0,1.0,14.0
Caleb Sturgis,4.0,58.0,176.0,141.0,79.1,184.0,174.0,95.4,0.0,411.0,64.0,214.0,187.0,22.7
Cameron Dicker,1.0,55.0,37.0,35.0,92.6,40.0,40.0,100.0,0.0,93.0,63.3,75.0,16.0,20.4
Carlos Huerta,0.0,42.0,14.0,8.0,41.7,10.0,10.0,100.0,0.0,6.0,58.0,0.0,6.0,26.7
Carson Long,1.0,45.0,11.0,7.0,75.0,14.0,13.0,93.8,0.0,29.0,0.0,0.0,0.0,
Cary Blanchard,6.0,54.0,243.0,185.0,78.8,216.0,214.0,99.3,0.0,145.0,53.9,11.0,120.0,19.8
Cedric Oglesby,0.0,41.0,6.0,5.0,83.3,7.0,7.0,100.0,0.0,14.0,52.2,0.0,13.0,13.3
Chad Ryland,0.0,56.0,25.0,16.0,63.1,27.0,26.0,97.6,0.0,67.0,63.8,44.0,23.0,21.2
