PLAYER,G,GS
Aaron Brewer,229,0
Adam Treu,43,26
Alex Ward,16,0
Andrew DePaola,151,0
Andrew East,3,0
Andrew Economos,132,0
Austin Cutting,31,0
Beau Brinkley,173,0
Blake Ferguson,78,0
Boone Stutz,24,0
Brad St Louis,76,0
Brett Goode,197,0
Brian Jennings,85,0
Bryan Pittman,46,0
Cal Adomitis,41,0
Camaron Cheeseman,57,0
Carson Tinker,124,0
Casey Kreiter,152,0
Charley Hughlett,183,0
Chris Massey,73,0
Chris Stoll,20,0
Christian Kuntz,62,0
Christian Yount,92,0
Clark Harris,244,0
Clint Gresham,132,0
Cole Mazza,35,0
Colin Holba,29,0
Cullen Loeffler,186,0
Danny Aiken,95,0
David Binn,102,0
Derek Hart,5,0
Derek Rackley,22,0
Don Muhlbach,300,0
Ethan Albright,93,0
Evan Deckers,3,0
Garrison Sanborn,200,0
Greg Warren,228,0
Hunter Bradley,73,0
J J Jansen,301,0
J P Darche,47,0
Jack Coco,20,0
Jacob Bobenmoyer,72,0
Jake Ingram,45,0
Jake McQuaide,241,0
James Dearth,21,0
James Winchester,198,0
Jared Retkofsky,14,0
Jason Kyle,88,0
Jeff Overbaugh,5,0
Jeff Robinson,19,0
Jeremy Cain,96,0
Jimmy Landes,3,0
Joe Cardona,184,0
Joe Maese,3,0
Joe Zelenka,120,0
John Denney,236,0
Jon Condo,221,0
Jon Dorenbos,212,0
Jon Weeks,106,0
Josh Harris,239,0
Justin Drescher,141,0
Justin Snow,132,0
Kameron Canaday,84,0
Ken Amato,60,0
Kendall Gammon,17,0
Kevin Houser,53,0
Kevin McDermott,115,0
Kyle Nelson,140,0
L P LaDouceur,80,0
L P Ladouceur,228,1
Liam McCullough,40,0
Lonie Paxton,136,0
Lucas Gravelle,4,0
Luke Rhodes,138,0
Matt Katula,110,0
Matt Overton,174,0
Matthew Orzech,42,0
Mike Leach,182,0
Mike Schneck,74,0
Mike Windt,173,0
Mitchell Fraboni,24,0
Morgan Cox,270,0
Nathan Hodel,73,0
Nick Guess,2,0
Nick Moore,42,0
Nick Sundberg,194,0
Nolan Frese,20,0
Patrick Mannelly,157,0
Patrick Scales,153,0
Reid Ferguson,148,0
Rick Lovato,162,0
Rob Davis,50,0
Ross Matiscik,77,0
Ryan DiSalvo,3,0
Ryan Kuehl,34,0
Ryan Neill,33,0
Ryan Pontbriand,117,0
Scott Daly,51,0
Steven Wirtel,12,0
Tanner Purdum,143,0
Taybor Pepper,106,0
Thomas Fletcher,3,0
Thomas Gafford,162,0
Thomas Hennessy,136,0
Trent Sieg,118,0
Tucker Addington,8,0
Tyler Ott,137,0
Zach Triner,97,0
Zach Wood,141,0
Zak DeOssie,214,0
