PLAYER,G,GS
A J Cann,136,131
A Q Shipley,137,87
Aaron Banks,53,41
Aaron Brewer,71,0
Aaron Epps,4,1
Aaron Gibson,46,39
Aaron Graham,98,42
Aaron Grant,2,1
Aaron Koch,24,1
Aaron Merz,7,1
Aaron Monteiro,10,2
Aaron Neary,12,8
Aaron Stinnie,54,23
Abe Cohen,14,0
Abe Gibron,131,19
Abraham Lucas,27,25
Adam Bisnowaty,9,3
Adam Davis,0,0
Adam Gettis,42,7
Adam Goldberg,128,76
Adam Haayer,21,5
Adam Hernandez,0,0
Adam Koets,23,5
Adam Lingner,228,1
Adam Meadows,109,102
Adam Pankey,30,7
Adam Redmond,39,4
Adam Schreiber,222,34
Adam Snyder,171,104
Adam Terry,66,22
Adam Timmerman,207,191
Adam Treu,119,21
Adolph Bieberstein,12,12
Adrian Ealy,3,0
Adrian Jones,69,30
Adrian Klemm,42,18
Adrien Clarke,28,18
Al Barry,57,18
Al Bemiller,130,45
Al Crook,15,10
Al DeRogatis,36,1
Al Dennis,31,1
Al Feeney,17,17
Al Graham,29,29
Al Jackson,5,0
Al Jamison,45,3
Al Jenkins,40,6
Al Johnson,68,45
Al Jolley,8,8
Al Krevis,13,0
Al Maginnes,3,2
Al Matuza,35,0
Al Nesser,26,26
Al Pierotti,42,29
Al Reynolds,100,10
Al Sarafiny,1,0
Al Simpson,23,8
Al Steinfeld,33,0
Al Wistert,23,0
Al Wukits,23,0
Alai Kalaniuvalu,0,0
Alama Uluave,3,1
Alan Faneca,229,224
Alan Kline,3,0
Alan Reuber,3,0
Alan Veingrad,88,43
Alaric Jackson,37,29
Aldo Forte,8,0
Alec Fishman,5,5
Alec Lindstrom,2,0
Alec Millen,0,0
Alejandro Villanueva,139,129
Alex Akingbulu,8,1
Alex Barron,94,81
Alex Bars,65,31
Alex Bernstein,0,0
Alex Boone,139,108
Alex Cappa,98,90
Alex Forsyth,3,0
Alex Kroll,14,0
Alex Kupper,4,1
Alex Leatherwood,31,23
Alex Lewis,54,48
Alex Light,19,2
Alex Mack,239,238
Alex Palczewski,3,1
Alex Parsons,20,4
Alex Redmond,45,28
Alex Sandusky,170,85
Alex Stepanovich,47,35
Alex Sulfsted,18,3
Alex Taylor,12,1
Alex Wojciechowicz,151,1
Alf Bauman,27,0
Alf Cobb,19,16
Alfredo Gutierrez,5,0
Ali Marpet,121,120
Alijah Vera Tucker,31,31
Allan Kennedy,42,1
Allen Barbre,128,56
Allen DeGraffenreid,5,0
Allen Gallaher,14,0
Almon Young,3,3
Alonzo Ephraim,47,5
Alvin Bailey,80,19
Alvin Loucks,1,1
Alvin Powell,21,0
Alvro Casey,3,3
Amby Rascher,7,1
Amini Silatolu,70,43
Amos Fowler,99,50
Andre Dillard,74,27
Andre Gurode,183,149
Andre Hines,9,0
Andre James,87,58
Andre Ramsey,5,0
Andre Smith,155,121
Andreas Knappe,6,0
Andrew Carnahan,4,0
Andrew Crummey,11,0
Andrew Donnal,46,8
Andrew Gardner,52,19
Andrew Gissinger,43,20
