PLAYER,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
A J Cole,365.0,17488.0,15436.0,83.0,47.8,42.5,0.0,44.0,38.0,164.0,26.0,102.0,155.0,1532.0,0.0
Adam Podlesh,548.0,23260.0,21100.0,76.0,42.6,38.4,1.0,56.0,86.0,183.0,37.0,142.0,226.0,1420.0,1.0
Alan Herline,26.0,861.0,717.0,50.0,34.8,29.4,1.0,3.0,6.0,1.0,4.0,5.0,7.0,64.0,0.0
Alex Waits,14.0,474.0,470.0,50.0,33.0,32.8,0.0,2.0,4.0,2.0,0.0,3.0,5.0,4.0,0.0
Andy Groom,11.0,429.0,383.0,57.0,38.6,34.0,0.0,1.0,2.0,2.0,1.0,1.0,6.0,26.0,0.0
Andy Lee,1715.0,79586.0,68161.0,82.0,46.7,39.9,7.0,89.0,214.0,547.0,153.0,348.0,904.0,8365.0,12.0
Arryn Siposs,148.0,6619.0,5860.0,69.0,44.8,39.3,1.0,12.0,25.0,48.0,8.0,31.0,71.0,599.0,0.0
Austin Barnard,11.0,486.0,426.0,55.0,43.6,39.0,0.0,1.0,0.0,4.0,1.0,3.0,6.0,40.0,0.0
B J Sander,64.0,2508.0,2171.0,53.0,40.3,34.8,0.0,2.0,4.0,11.0,2.0,11.0,45.0,297.0,0.0
Barry Bowman,3.0,104.0,92.0,36.0,34.7,30.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0
Barry Cantrell,10.0,367.0,333.0,40.0,36.4,33.0,0.0,0.0,0.0,3.0,0.0,6.0,4.0,34.0,0.0
Barry Helton,252.0,9573.0,7916.0,56.0,38.7,31.9,4.0,21.0,34.0,63.0,23.0,35.0,135.0,1197.0,0.0
Ben Graham,795.0,34584.0,29526.0,69.0,43.4,37.2,2.0,83.0,127.0,294.0,52.0,154.0,377.0,4018.0,5.0
Bill LaFleur,98.0,3677.0,3217.0,60.0,38.7,33.5,2.0,13.0,17.0,23.0,4.0,20.0,42.0,380.0,1.0
Bill Renner,38.0,1334.0,1174.0,50.0,38.1,32.8,3.0,4.0,7.0,6.0,2.0,2.0,20.0,120.0,0.0
