PLAYER,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
A J Feeley,500.0,885.0,5359.0,5.8,32.0,35.0,46.0,290.0,72.0,44.0,71.0,1.6,1.0,17.0,9.0
AJ McCarron,141.0,249.0,1572.0,6.1,6.0,6.0,24.0,181.0,73.6,27.0,143.0,4.2,2.0,1.0,0.0
Aaron Brooks,1719.0,3040.0,20822.0,6.9,129.0,95.0,239.0,1478.0,79.7,377.0,1589.0,4.1,13.0,66.0,26.0
Aaron Murray,36.0,56.0,352.0,4.3,4.0,2.0,2.0,4.0,73.2,9.0,22.0,3.3,0.0,1.0,0.0
Aaron Rodgers,5741.0,8788.0,67818.0,7.9,547.0,121.0,606.0,4093.0,103.1,801.0,3941.0,4.9,42.0,105.0,45.0
Ace Parker,263.0,579.0,3812.0,6.8,22.0,42.0,0.0,0.0,59.5,405.0,1157.0,2.8,10.0,0.0,0.0
Adrian Burk,500.0,1079.0,7001.0,6.2,61.0,89.0,0.0,935.0,55.7,122.0,324.0,2.4,7.0,29.0,0.0
Adrian McPherson,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Akili Smith,215.0,461.0,2212.0,4.8,5.0,13.0,59.0,327.0,56.1,70.0,371.0,5.2,1.0,19.0,8.0
Al Bloodgood,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Al Dekdebrun,2.0,6.0,4.0,0.7,0.0,2.0,0.0,24.0,2.8,4.0,28.0,7.0,0.0,0.0,0.0
Al Dorow,572.0,1207.0,7708.0,6.0,64.0,93.0,0.0,263.0,56.5,248.0,1150.0,5.0,16.0,25.0,0.0
Al Mahrt,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Al Pastrana,29.0,75.0,420.0,6.2,1.0,9.0,8.0,60.0,44.5,14.0,89.0,5.5,1.0,1.0,0.0
Al Thacker,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
