PLAYER,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
A J Brown,409.0,6392.0,15.5,91.0,45.0,6.0,79.0,13.2,49.0,1.0,8.0,5.0
A J Derby,59.0,667.0,10.6,29.0,4.0,0.0,0.0,,,0.0,2.0,2.0
A J Green,798.0,11466.0,14.5,82.0,74.0,12.0,103.0,8.0,22.0,0.0,13.0,8.0
A J Jenkins,31.0,448.0,15.2,48.0,1.0,6.0,22.0,3.7,9.0,0.0,2.0,1.0
A J Ofodile,4.0,25.0,6.2,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Richardson,5.0,67.0,13.4,28.0,1.0,0.0,0.0,,,0.0,0.0,0.0
A T Perry,24.0,350.0,18.0,44.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Burbridge,13.0,140.0,11.9,24.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Cox,102.0,1732.0,18.3,69.0,8.0,0.0,0.0,,,0.0,2.0,1.0
Aaron Dobson,84.0,1192.0,14.1,81.0,5.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Fuller,5.0,61.0,13.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Halterman,1.0,7.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Hernandez,239.0,2625.0,11.6,46.0,22.0,19.0,179.0,9.3,43.0,0.0,4.0,2.0
Aaron Laing,18.0,147.0,7.9,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Marsh,27.0,439.0,14.4,70.0,4.0,4.0,8.0,2.0,11.0,0.0,0.0,0.0
Aaron Mellette,9.0,140.0,19.9,40.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Moorehead,36.0,371.0,9.7,36.0,1.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Oliker,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Parker,5.0,76.0,14.0,36.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Pierce,100.0,1046.0,9.5,54.0,6.0,2.0,7.0,3.5,6.0,1.0,3.0,3.0
Aaron Shea,83.0,765.0,10.0,37.0,7.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Thomas,268.0,4680.0,18.0,71.0,37.0,5.0,-19.0,-3.8,23.0,0.0,3.0,0.0
Aaron Walker,25.0,312.0,12.4,30.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Abe Addams,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Abe Croft,11.0,152.0,17.6,67.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Ace Sanders,65.0,620.0,9.5,51.0,1.0,3.0,7.0,2.3,4.0,0.0,2.0,1.0
Adam Bergen,43.0,381.0,9.0,32.0,2.0,0.0,0.0,,,0.0,2.0,2.0
Adam Herzing,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adam Humphries,355.0,3666.0,10.5,51.0,14.0,9.0,36.0,4.3,8.0,0.0,7.0,1.0
Adam Jennings,10.0,126.0,14.0,39.0,1.0,1.0,-4.0,-4.0,-4.0,0.0,11.0,8.0
Adam Shaheen,64.0,619.0,9.1,43.0,7.0,0.0,0.0,,,0.0,1.0,1.0
Adam Thielen,700.0,8531.0,12.3,71.0,62.0,25.0,185.0,6.3,41.0,1.0,10.0,5.0
Adam Trautman,62.0,649.0,10.8,41.0,4.0,0.0,0.0,,,0.0,1.0,1.0
Adam Young,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adrian Arrington,33.0,567.0,16.3,51.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Adrian Cooper,89.0,1064.0,12.0,47.0,6.0,0.0,0.0,,,0.0,5.0,4.0
Adrian Madise,2.0,10.0,5.0,5.0,0.0,1.0,10.0,10.0,10.0,0.0,1.0,1.0
Adrian McBride,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adrien Robinson,14.0,176.0,11.6,33.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Ahmad Merritt,19.0,170.0,9.7,25.0,0.0,2.0,52.0,26.0,47.0,1.0,4.0,2.0
Ahmad Rashad,516.0,7134.0,14.4,98.0,45.0,10.0,52.0,6.8,15.0,0.0,13.0,1.0
Airese Currie,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Akwasi Owusu Ansah,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Baldwin,28.0,555.0,21.1,85.0,3.0,0.0,0.0,,,0.0,3.0,0.0
Al Barnes,7.0,101.0,15.1,23.0,2.0,0.0,0.0,,,0.0,1.0,0.0
Al Chandler,58.0,609.0,10.4,47.0,15.0,0.0,0.0,,,0.0,0.0,0.0
Al Coppage,43.0,476.0,10.9,42.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Al Darby,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Denson,260.0,4275.0,17.0,82.0,32.0,4.0,3.0,0.8,9.0,0.0,2.0,0.0
Al Dixon,86.0,1266.0,14.8,48.0,8.0,1.0,-5.0,-5.0,-5.0,0.0,2.0,0.0
Al Dodd,111.0,1803.0,16.4,52.0,3.0,9.0,50.0,5.1,16.0,0.0,5.0,0.0
Al Edwards,29.0,294.0,10.4,33.0,1.0,2.0,25.0,12.5,17.0,0.0,4.0,4.0
Al Greer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Hust,1.0,9.0,9.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Krueger,16.0,188.0,13.7,35.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Al Lawson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Marshall,1.0,17.0,17.0,17.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Al Norgard,3.0,29.0,12.8,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Olszewski,2.0,28.0,14.0,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Rose,20.0,297.0,14.8,36.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Al Snyder,1.0,12.0,12.0,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Swain,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Sykes,1.0,15.0,15.0,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Teeter,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Toon,543.0,6935.0,13.0,78.0,33.0,4.0,7.0,1.8,5.0,0.0,6.0,1.0
Al Williams,12.0,247.0,22.9,57.0,1.0,1.0,11.0,11.0,11.0,0.0,1.0,1.0
Al Young,11.0,144.0,12.6,33.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Alan Cross,17.0,153.0,8.6,23.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Albert Bell,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Albert Connell,156.0,2768.0,17.2,77.0,17.0,3.0,17.0,5.7,8.0,0.0,1.0,1.0
Albert Johnson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Albert Okwuegbunam,61.0,601.0,10.1,64.0,4.0,0.0,0.0,,,0.0,1.0,1.0
Albert Wilson,258.0,2826.0,11.2,75.0,17.0,31.0,170.0,5.3,55.0,1.0,0.0,0.0
Aldrick Robinson,126.0,2229.0,17.5,68.0,16.0,4.0,10.0,2.5,14.0,0.0,2.0,0.0
Alec Pierce,76.0,1143.0,16.5,58.0,4.0,0.0,0.0,,,0.0,1.0,0.0
Alex Bachman,26.0,240.0,9.2,22.0,4.0,1.0,-3.0,-3.0,-3.0,0.0,0.0,0.0
Alex Bannister,10.0,129.0,12.2,31.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Alex Bayer,10.0,135.0,13.6,42.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Ellis,34.0,285.0,7.6,22.0,2.0,0.0,0.0,,,0.0,1.0,1.0
Alex Erickson,167.0,2031.0,12.0,52.0,6.0,23.0,106.0,5.0,17.0,0.0,16.0,6.0
Alex Gray,2.0,15.0,7.5,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Hawkins,73.0,1142.0,14.9,54.0,6.0,29.0,481.0,16.0,54.0,4.0,1.0,0.0
Alex Higdon,3.0,60.0,20.0,34.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Alex Holmes,1.0,2.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Johnson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Piasecky,13.0,134.0,10.9,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Alex Urban,3.0,36.0,11.5,14.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Alex Van Dyke,27.0,235.0,9.4,18.0,3.0,0.0,0.0,,,0.0,1.0,1.0
Alex Wesley,1.0,18.0,18.0,18.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alexander Hollins,5.0,72.0,13.5,35.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
