PLAYER,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
A B Brown,40.0,117.0,3.4,17.0,1.0,8.0,40.0,4.9,20.0,0.0,3.0,1.0
A D Whitfield,222.0,981.0,4.3,63.0,3.0,67.0,702.0,9.7,53.0,3.0,8.0,0.0
A J Dillon,447.0,1931.0,4.5,36.0,15.0,68.0,569.0,8.7,50.0,2.0,4.0,1.0
Aaron Brown,103.0,414.0,4.6,19.0,2.0,36.0,308.0,9.1,26.0,2.0,0.0,0.0
Aaron Craver,255.0,1064.0,3.6,28.0,11.0,182.0,1452.0,8.0,49.0,4.0,9.0,6.0
Aaron Green,34.0,131.0,3.7,26.0,1.0,9.0,76.0,8.1,12.0,1.0,0.0,0.0
Aaron Hayden,233.0,864.0,2.8,21.0,4.0,8.0,74.0,8.8,16.0,0.0,1.0,0.0
Aaron Jones,1315.0,6614.0,5.0,77.0,53.0,306.0,2317.0,7.1,75.0,21.0,17.0,9.0
Aaron Ripkowski,50.0,203.0,3.3,20.0,3.0,25.0,167.0,6.4,20.0,1.0,1.0,1.0
Aaron Shampklin,28.0,106.0,3.8,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Shea,0.0,0.0,,,0.0,14.0,86.0,6.5,12.0,0.0,0.0,0.0
Aaron Stecker,409.0,1641.0,4.4,59.0,9.0,168.0,1180.0,6.5,48.0,3.0,11.0,8.0
Ab Wright,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Abdul Karim al Jabbar,1182.0,3972.0,3.1,45.0,35.0,110.0,679.0,6.0,36.0,3.0,9.0,6.0
Abe Karnofsky,77.0,218.0,2.3,35.0,3.0,13.0,252.0,17.3,56.0,1.0,11.0,0.0
Abe Martin,17.0,122.0,7.2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Abner Haynes,1122.0,5002.0,4.1,80.0,49.0,306.0,3680.0,12.3,78.0,21.0,48.0,1.0
Abu Wilson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ace Gutowsky,887.0,3175.0,3.4,15.0,18.0,3.0,64.0,21.3,30.0,0.0,2.0,0.0
Ace Parker,18.0,-49.0,-3.3,7.0,0.0,0.0,0.0,,,0.0,2.0,0.0
Adam Prentice,12.0,44.0,3.2,11.0,0.0,10.0,39.0,3.9,10.0,0.0,2.0,1.0
Adam Walker,35.0,118.0,2.9,16.0,3.0,13.0,79.0,5.1,15.0,0.0,4.0,3.0
Adger Armstrong,58.0,231.0,3.5,18.0,2.0,80.0,710.0,9.2,48.0,7.0,3.0,2.0
Adolph Kissell,2.0,-1.0,-0.5,11.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Adolph Kliebhan,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adolph Spiegel,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adrian Ford,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adrian Murrell,1402.0,5356.0,3.5,78.0,23.0,219.0,1437.0,6.7,43.0,6.0,28.0,13.0
Adrian Peterson,4473.0,20762.0,4.5,90.0,175.0,415.0,3543.0,9.2,63.0,7.0,74.0,43.0
Adrian Wright,37.0,112.0,3.1,11.0,0.0,13.0,98.0,7.8,15.0,1.0,1.0,0.0
Ahmad Bradshaw,1287.0,5750.0,4.3,88.0,42.0,226.0,1828.0,8.9,59.0,12.0,25.0,15.0
Ahman Green,2175.0,9726.0,4.5,98.0,63.0,400.0,3034.0,7.7,53.0,14.0,38.0,25.0
Ahmard Hall,28.0,94.0,3.0,12.0,0.0,85.0,688.0,8.2,54.0,2.0,6.0,5.0
Ainer Cleve,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Akeem Hunt,90.0,375.0,4.2,25.0,1.0,25.0,197.0,7.6,27.0,2.0,2.0,0.0
Akeem Judd,11.0,55.0,3.7,40.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0
Al Bloodgood,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Campana,62.0,175.0,0.8,23.0,2.0,6.0,61.0,11.8,30.0,0.0,3.0,0.0
Al Cannava,1.0,2.0,2.0,2.0,0.0,1.0,28.0,28.0,28.0,0.0,1.0,0.0
Al Carmichael,222.0,947.0,4.5,41.0,4.0,112.0,1633.0,14.2,63.0,8.0,20.0,0.0
