PLAYER,SEASON,SUBSEASON,WK,DATE,OPP,RESULT,FGBLK,FGLNG,FGATT,FGM,FGPCT,XPATT,XPM,XPPCT,XPBLK,KO,KOAVG,TB,RET,AVGRET
Ade Schwammel,1935,Regular Season,17,1935-12-08,@Eagles,,0.0,37.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,,,,,
Ade Schwammel,1935,Regular Season,15,1935-11-28,@Cardinals,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Ade Schwammel,1935,Regular Season,8,1935-10-27,@Bears,,0.0,18.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,,,,,
Ade Schwammel,1935,Regular Season,7,1935-10-20,Lions,,0.0,41.0,2.0,2.0,100.0,0.0,0.0,,0.0,,,,,
Ade Schwammel,1935,Regular Season,4,1935-10-06,Pirates,,0.0,0.0,0.0,0.0,,2.0,1.0,50.0,0.0,,,,,
Bud Jorgensen,1935,Regular Season,17,1935-12-08,Packers,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,16,1935-12-01,Giants,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,14,1935-11-24,@Giants,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,12,1935-11-10,@Cardinals,,0.0,18.0,1.0,1.0,100.0,0.0,0.0,,0.0,,,,,
Bud Jorgensen,1935,Regular Season,11,1935-11-05,Dodgers,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,10,1935-11-03,@Redskins,,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,,,,,
Bud Jorgensen,1935,Regular Season,8,1935-10-27,@Dodgers,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,6,1935-10-13,Bears,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,5,1935-10-09,@Pirates,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,2,1935-09-20,@Lions,,,,,,,,,,,,,,,
Bud Jorgensen,1935,Regular Season,1,1935-09-13,Pirates,,,,,,,,,,,,,,,
Armand Niccolai,1938,Regular Season,15,1938-12-04,Rams,,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,14,1938-11-27,@Redskins,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,
Armand Niccolai,1938,Regular Season,13,1938-11-20,@Eagles,,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,11,1938-11-06,Redskins,,,,,,,,,,,,,,,
Armand Niccolai,1938,Regular Season,9,1938-10-23,@Packers,,,,,,,,,,,,,,,
Armand Niccolai,1938,Regular Season,7,1938-10-09,Dodgers,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,6,1938-10-03,@Giants,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,4,1938-09-23,@Dodgers,,0.0,18.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,3,1938-09-16,Eagles,,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,2,1938-09-11,Giants,,0.0,0.0,0.0,0.0,,2.0,2.0,100.0,0.0,,,,,
Armand Niccolai,1938,Regular Season,1,1938-09-09,@Lions,,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,,,,,
Bruiser Kinard,1939,Regular Season,13,1939-11-26,@Giants,,0.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,,,,,
Bruiser Kinard,1939,Regular Season,11,1939-11-19,Packers,,,,,,,,,,,,,,,
Bruiser Kinard,1939,Regular Season,10,1939-11-12,Redskins,,,,,,,,,,,,,,,
