PLAYER,SEASON,SUBSEASON,WK,DATE,OPP,RESULT,G,GS
Adam Treu,2004,Regular Season,17,2005-01-02,Jaguars,L 6 - 13,1,1
Adam Treu,2004,Regular Season,16,2004-12-25,@Chiefs,L 30 - 31,1,1
Adam Treu,2004,Regular Season,15,2004-12-19,Titans,W 40 - 35,1,1
Adam Treu,2004,Regular Season,14,2004-12-12,@Falcons,L 10 - 35,1,1
Adam Treu,2004,Regular Season,13,2004-12-05,Chiefs,L 27 - 34,1,1
Adam Treu,2004,Regular Season,12,2004-11-28,@Broncos,W 25 - 24,1,1
Adam Treu,2004,Regular Season,11,2004-11-21,Chargers,L 17 - 23,1,1
Adam Treu,2004,Regular Season,9,2004-11-07,@Panthers,W 27 - 24,1,1
Adam Treu,2004,Regular Season,8,2004-10-31,@Chargers,L 14 - 42,1,1
Adam Treu,2004,Regular Season,7,2004-10-24,Saints,L 26 - 31,1,1
Adam Treu,2004,Regular Season,6,2004-10-17,Broncos,L 3 - 31,1,1
Adam Treu,2004,Regular Season,5,2004-10-10,@Colts,L 14 - 35,1,1
Adam Treu,2004,Regular Season,4,2004-10-03,@Texans,L 17 - 30,1,1
Adam Treu,2004,Regular Season,3,2004-09-26,Buccaneers,W 30 - 20,1,1
Adam Treu,2004,Regular Season,2,2004-09-19,Bills,W 13 - 10,1,1
Adam Treu,2004,Regular Season,1,2004-09-12,@Steelers,L 21 - 24,1,1
Ethan Albright,2005,Regular Season,17,2006-01-01,@Eagles,W 31 - 20,1,0
Ethan Albright,2005,Regular Season,16,2005-12-24,Giants,W 35 - 20,1,0
Ethan Albright,2005,Regular Season,15,2005-12-18,Cowboys,W 35 - 7,1,0
Ethan Albright,2005,Regular Season,14,2005-12-11,@Cardinals,W 17 - 13,1,0
Ethan Albright,2005,Regular Season,13,2005-12-04,@Rams,W 24 - 9,1,0
Ethan Albright,2005,Regular Season,12,2005-11-27,Chargers,L 17 - 23,1,0
Ethan Albright,2005,Regular Season,11,2005-11-20,Raiders,L 13 - 16,1,0
Ethan Albright,2005,Regular Season,10,2005-11-13,@Buccaneers,L 35 - 36,1,0
Ethan Albright,2005,Regular Season,9,2005-11-06,Eagles,W 17 - 10,1,0
Ethan Albright,2005,Regular Season,8,2005-10-30,@Giants,L 0 - 36,1,0
Ethan Albright,2005,Regular Season,7,2005-10-23,49ers,W 52 - 17,1,0
Ethan Albright,2005,Regular Season,6,2005-10-16,@Chiefs,L 21 - 28,1,0
Ethan Albright,2005,Regular Season,5,2005-10-09,@Broncos,L 19 - 21,1,0
Ethan Albright,2005,Regular Season,4,2005-10-02,Seahawks,W 20 - 17,1,0
Ethan Albright,2005,Regular Season,2,2005-09-19,@Cowboys,W 14 - 13,1,0
Ethan Albright,2005,Regular Season,1,2005-09-11,Bears,W 9 - 7,1,0
Ethan Albright,2005,Post Season,2,2006-01-14,@Seahawks,L 10 - 20,1,0
Ethan Albright,2005,Post Season,1,2006-01-07,@Buccaneers,W 17 - 10,1,0
David Binn,2005,Regular Season,17,2005-12-31,Broncos,L 7 - 23,1,0
David Binn,2005,Regular Season,16,2005-12-24,@Chiefs,L 7 - 20,1,0
David Binn,2005,Regular Season,15,2005-12-18,@Colts,W 26 - 17,1,0
David Binn,2005,Regular Season,14,2005-12-11,Dolphins,L 21 - 23,1,0
David Binn,2005,Regular Season,13,2005-12-04,Raiders,W 34 - 10,1,0
David Binn,2005,Regular Season,12,2005-11-27,@Redskins,W 23 - 17,1,0
David Binn,2005,Regular Season,11,2005-11-20,Bills,W 48 - 10,1,0
David Binn,2005,Regular Season,9,2005-11-06,@Jets,W 31 - 26,1,0
David Binn,2005,Regular Season,8,2005-10-30,Chiefs,W 28 - 20,1,0
David Binn,2005,Regular Season,7,2005-10-23,@Eagles,L 17 - 20,1,0
David Binn,2005,Regular Season,6,2005-10-16,@Raiders,W 27 - 14,1,0
David Binn,2005,Regular Season,5,2005-10-10,Steelers,L 22 - 24,1,0
David Binn,2005,Regular Season,4,2005-10-02,@Patriots,W 41 - 17,1,0
David Binn,2005,Regular Season,3,2005-09-25,Giants,W 45 - 23,1,0
David Binn,2005,Regular Season,2,2005-09-18,@Broncos,L 17 - 20,1,0
David Binn,2005,Regular Season,1,2005-09-11,Cowboys,L 24 - 28,1,0
Rob Davis,2005,Regular Season,17,2006-01-01,Seahawks,W 23 - 17,1,0
Rob Davis,2005,Regular Season,16,2005-12-25,Bears,L 17 - 24,1,0
Rob Davis,2005,Regular Season,15,2005-12-19,@Ravens,L 3 - 48,1,0
Rob Davis,2005,Regular Season,14,2005-12-11,Lions,W 16 - 13,1,0
Rob Davis,2005,Regular Season,13,2005-12-04,@Bears,L 7 - 19,1,0
Rob Davis,2005,Regular Season,12,2005-11-27,@Eagles,L 14 - 19,1,0
Rob Davis,2005,Regular Season,11,2005-11-21,Vikings,L 17 - 20,1,0
Rob Davis,2005,Regular Season,10,2005-11-13,@Falcons,W 33 - 25,1,0
Rob Davis,2005,Regular Season,9,2005-11-06,Steelers,L 10 - 20,1,0
Rob Davis,2005,Regular Season,8,2005-10-30,@Bengals,L 14 - 21,1,0
Rob Davis,2005,Regular Season,7,2005-10-23,@Vikings,L 20 - 23,1,0
Rob Davis,2005,Regular Season,5,2005-10-09,Saints,W 52 - 3,1,0
Rob Davis,2005,Regular Season,4,2005-10-03,@Panthers,L 29 - 32,1,0
Rob Davis,2005,Regular Season,3,2005-09-25,Buccaneers,L 16 - 17,1,0
Rob Davis,2005,Regular Season,2,2005-09-18,Browns,L 24 - 26,1,0
Rob Davis,2005,Regular Season,1,2005-09-11,@Lions,L 3 - 17,1,0
