PLAYER,SEASON,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
A D Williams,1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A D Williams,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A D Williams,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Bouye,2013,10.0,10.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0
A J Bouye,2014,67.0,56.0,8.0,0.0,0.0,12.0,4.0,121.0,30.2,67.0,1.0,1.0,1.0
A J Bouye,2015,24.0,22.0,1.0,0.0,0.0,7.0,2.0,9.0,4.5,9.0,0.0,0.0,0.0
A J Bouye,2016,73.0,55.0,16.0,1.0,0.0,23.0,3.0,13.0,4.3,7.0,0.0,1.0,0.0
A J Bouye,2017,72.0,67.0,5.0,0.0,0.0,19.0,6.0,70.0,14.0,51.0,0.0,0.0,0.0
A J Bouye,2018,56.0,46.0,10.0,0.0,0.0,8.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0
A J Bouye,2019,65.0,48.0,15.0,0.0,0.0,8.0,1.0,25.0,25.0,25.0,0.0,0.0,0.0
A J Bouye,2020,23.0,21.0,2.0,0.0,0.0,6.0,0.0,0.0,,,0.0,0.0,0.0
A J Bouye,2021,28.0,21.0,5.0,0.0,0.0,3.0,0.0,0.0,,,0.0,1.0,0.0
A J Duhe,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0
A J Duhe,1978,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,2.0
A J Duhe,1979,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Duhe,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Duhe,1981,80.0,70.0,7.0,0.0,0.0,2.0,1.0,11.0,11.0,11.0,0.0,2.0,1.0
A J Duhe,1982,52.0,48.0,2.0,5.0,0.0,5.0,5.0,36.0,4.0,35.0,1.0,1.0,0.0
A J Duhe,1983,67.0,59.0,3.0,5.5,0.0,4.0,0.0,0.0,,,0.0,1.0,1.0
A J Duhe,1984,46.0,40.0,4.0,1.0,0.0,2.0,1.0,7.0,7.0,7.0,0.0,1.0,0.0
A J Edds,2011,62.0,38.0,18.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Edds,2014,52.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0
A J Epenesa,2020,17.0,11.0,3.0,1.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Epenesa,2021,17.0,8.0,9.0,1.5,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Epenesa,2022,19.0,13.0,5.0,6.5,0.0,5.0,0.0,0.0,,,0.0,2.0,1.0
A J Epenesa,2023,24.0,10.0,12.0,7.5,0.0,9.0,2.0,38.0,19.0,32.0,1.0,1.0,1.0
A J Francis,2013,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
A J Francis,2015,18.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Francis,2016,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Francis,2017,29.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
A J Hawk,2006,120.0,66.0,35.0,3.5,0.0,7.0,2.0,31.0,15.5,25.0,0.0,1.0,2.0
A J Hawk,2007,113.0,65.0,30.0,2.0,0.0,4.0,1.0,10.0,10.0,10.0,0.0,1.0,1.0
A J Hawk,2008,87.0,49.0,19.0,3.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Hawk,2009,94.0,54.0,24.0,1.0,0.0,3.0,2.0,42.0,21.0,29.0,0.0,0.0,1.0
A J Hawk,2010,130.0,70.0,46.0,0.5,0.0,11.0,3.0,31.0,10.3,21.0,0.0,0.0,1.0
A J Hawk,2011,90.0,46.0,32.0,1.5,0.0,3.0,0.0,0.0,,,0.0,0.0,0.0
A J Hawk,2012,140.0,78.0,45.0,3.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0
A J Hawk,2013,129.0,71.0,45.0,5.0,0.0,5.0,1.0,7.0,7.0,7.0,0.0,1.0,2.0
A J Hawk,2014,97.0,49.0,39.0,0.5,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Hawk,2015,30.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Hawk,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Hendy,2016,8.0,5.0,2.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0
A J Hendy,2017,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Hendy,2018,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Howard,2018,5.0,4.0,1.0,0.0,0.0,2.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0
A J Howard,2019,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Jefferson,2010,14.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Jefferson,2011,72.0,64.0,6.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A J Jefferson,2012,45.0,40.0,3.0,0.0,0.0,6.0,0.0,0.0,,,0.0,0.0,1.0
A J Jefferson,2013,13.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
A J Jimerson,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Jimerson,1991,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Johnson,2018,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Johnson,2019,110.0,50.0,49.0,1.5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
A J Johnson,2020,124.0,68.0,52.0,1.0,0.0,2.0,0.0,0.0,,,0.0,2.0,0.0
A J Johnson,2021,33.0,19.0,12.0,2.0,0.0,3.0,0.0,0.0,,,0.0,0.0,1.0
A J Johnson,2022,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Klein,2013,35.0,28.0,4.0,2.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
A J Klein,2014,48.0,32.0,14.0,0.0,0.0,1.0,1.0,29.0,29.0,29.0,0.0,1.0,0.0
A J Klein,2015,77.0,48.0,24.0,1.0,0.0,3.0,1.0,8.0,8.0,8.0,0.0,1.0,0.0
A J Klein,2016,36.0,18.0,14.0,1.0,0.0,3.0,1.0,74.0,74.0,74.0,0.0,2.0,0.0
A J Klein,2017,63.0,40.0,19.0,2.5,0.0,4.0,0.0,0.0,,,0.0,1.0,0.0
A J Klein,2018,85.0,49.0,31.0,2.0,0.0,3.0,1.0,6.0,6.0,6.0,0.0,0.0,2.0
A J Klein,2019,79.0,48.0,27.0,2.5,0.0,2.0,1.0,14.0,14.0,14.0,1.0,1.0,1.0
A J Klein,2020,78.0,45.0,22.0,5.0,0.0,4.0,0.0,0.0,,,0.0,2.0,1.0
A J Klein,2021,43.0,25.0,10.0,0.0,0.0,5.0,1.0,12.0,12.0,12.0,0.0,0.0,1.0
A J Klein,2022,16.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Klein,2023,23.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Moore,2018,17.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Moore,2019,21.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Moore,2020,35.0,19.0,13.0,1.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0
A J Moore,2021,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0
A J Moore,2022,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Nicholson,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Tarpley,2015,21.0,15.0,4.0,1.0,0.0,4.0,2.0,40.0,20.0,37.0,0.0,1.0,0.0
A J Terrell,2020,74.0,58.0,13.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
A J Terrell,2021,81.0,51.0,29.0,1.0,0.0,16.0,3.0,42.0,14.0,35.0,0.0,1.0,0.0
A J Terrell,2022,48.0,31.0,11.0,0.0,0.0,9.0,0.0,0.0,,,0.0,0.0,1.0
A J Terrell,2023,47.0,31.0,12.0,0.0,0.0,11.0,0.0,0.0,,,0.0,0.0,0.0
A J Thomas,2022,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Thomas,2023,14.0,10.0,0.0,0.0,0.0,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0
Aaron Adeoye,2019,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Adeoye,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Adeoye,2021,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Aaron Beasley,1996,40.0,31.0,9.0,1.0,0.0,10.0,2.0,15.0,7.5,15.0,0.0,1.0,1.0
Aaron Beasley,1997,29.0,28.0,0.0,0.0,0.0,5.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0
Aaron Beasley,1998,76.0,63.0,13.0,0.0,0.0,20.0,3.0,35.0,11.7,34.0,0.0,2.0,2.0
Aaron Beasley,1999,72.0,60.0,9.0,1.5,0.0,23.0,8.0,205.0,26.0,93.0,2.0,2.0,0.0
Aaron Beasley,2000,52.0,41.0,7.0,5.0,0.0,14.0,1.0,39.0,39.0,39.0,0.0,1.0,1.0
Aaron Beasley,2001,39.0,34.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Aaron Beasley,2002,75.0,48.0,8.0,0.0,0.0,15.0,2.0,29.0,14.5,24.0,0.0,0.0,0.0
Aaron Beasley,2003,60.0,38.0,15.0,0.0,0.0,12.0,3.0,64.0,21.3,39.0,0.0,1.0,1.0
Aaron Beasley,2004,25.0,20.0,2.0,1.0,0.0,7.0,4.0,115.0,28.8,85.0,0.0,2.0,0.0
Aaron Berry,2010,3.0,3.0,0.0,0.0,0.0,2.0,1.0,23.0,23.0,23.0,0.0,0.0,0.0
Aaron Berry,2011,42.0,33.0,9.0,0.0,0.0,16.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Berry,2012,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Berry,2014,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Crawford,2020,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Crawford,2021,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Crawford,2022,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Curry,2009,67.0,51.0,7.0,3.0,0.0,6.0,0.0,0.0,,,0.0,3.0,0.0
Aaron Curry,2010,85.0,52.0,15.0,3.5,0.0,3.0,1.0,23.0,23.0,23.0,0.0,2.0,0.0
Aaron Curry,2011,150.0,96.0,40.0,0.0,0.0,10.0,0.0,0.0,,,0.0,0.0,6.0
Aaron Curry,2012,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Donald,2014,51.0,37.0,11.0,10.0,0.0,1.0,0.0,0.0,,,0.0,3.0,0.0
Aaron Donald,2015,76.0,45.0,28.0,11.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0
Aaron Donald,2016,48.0,34.0,11.0,8.0,0.0,5.0,0.0,0.0,,,0.0,2.0,0.0
Aaron Donald,2017,46.0,34.0,10.0,11.5,0.0,1.0,0.0,0.0,,,0.0,5.0,1.0
Aaron Donald,2018,68.0,40.0,22.0,20.5,0.0,1.0,0.0,0.0,,,0.0,4.0,2.0
Aaron Donald,2019,48.0,25.0,19.0,12.5,1.0,2.0,0.0,0.0,,,0.0,2.0,1.0
Aaron Donald,2020,49.0,29.0,19.0,15.5,0.0,1.0,0.0,0.0,,,0.0,4.0,1.0
Aaron Donald,2021,97.0,35.0,53.0,16.0,0.0,5.0,0.0,0.0,,,0.0,4.0,0.0
Aaron Donald,2022,49.0,19.0,22.0,5.0,0.0,2.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Donald,2023,56.0,24.0,27.0,8.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Donkor,2021,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Donkor,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Fields,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Francisco,2005,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Francisco,2006,49.0,37.0,5.0,0.0,0.0,3.0,2.0,61.0,30.5,44.0,0.0,0.0,0.0
Aaron Francisco,2007,31.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Francisco,2008,75.0,57.0,5.0,0.0,0.0,3.0,1.0,27.0,27.0,27.0,0.0,1.0,0.0
Aaron Francisco,2009,26.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Francisco,2010,64.0,34.0,14.0,0.0,0.0,3.0,2.0,10.0,5.0,11.0,0.0,0.0,0.0
