PLAYER,SEASON,FGBLK,FGLNG,FGATT,FGM,FGPCT,XPATT,XPM,XPPCT,XPBLK,KO,KOAVG,TB,RET,AVGRET
Aaron Elling,2003,0.0,51.0,25.0,18.0,76.9,48.0,48.0,100.0,0.0,74.0,59.5,1.0,68.0,21.2
Aaron Elling,2004,0.0,22.0,4.0,2.0,50.0,4.0,4.0,100.0,0.0,78.0,62.7,0.0,76.0,23.8
Aaron Elling,2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,35.0,63.4,2.0,32.0,21.8
Aaron Pettrey,2010,0.0,28.0,5.0,2.0,33.3,6.0,6.0,100.0,0.0,10.0,62.1,1.0,9.0,24.4
Adam Vinatieri,1996,1.0,50.0,38.0,29.0,79.2,51.0,48.0,93.1,1.0,102.0,64.3,9.0,93.0,21.7
Adam Vinatieri,1997,0.0,52.0,34.0,28.0,87.6,42.0,42.0,100.0,0.0,88.0,61.7,5.0,81.0,21.5
Adam Vinatieri,1998,1.0,55.0,40.0,32.0,78.9,33.0,33.0,100.0,0.0,82.0,61.7,6.0,74.0,18.5
Adam Vinatieri,1999,0.0,51.0,33.0,26.0,83.3,30.0,29.0,98.2,1.0,71.0,61.6,5.0,63.0,22.2
Adam Vinatieri,2000,0.0,53.0,33.0,27.0,81.4,25.0,25.0,100.0,0.0,67.0,63.5,7.0,60.0,21.2
Adam Vinatieri,2001,0.0,54.0,37.0,30.0,82.9,48.0,47.0,98.0,1.0,95.0,61.3,6.0,88.0,22.3
Adam Vinatieri,2002,0.0,57.0,30.0,27.0,88.1,36.0,36.0,100.0,0.0,83.0,60.3,6.0,73.0,20.1
Adam Vinatieri,2003,2.0,48.0,44.0,32.0,73.6,44.0,43.0,94.1,1.0,96.0,62.2,2.0,93.0,20.9
Adam Vinatieri,2004,0.0,48.0,38.0,36.0,95.0,58.0,58.0,100.0,0.0,112.0,62.3,7.0,103.0,22.3
Adam Vinatieri,2005,0.0,49.0,28.0,22.0,81.0,46.0,45.0,98.5,1.0,89.0,61.7,10.0,76.0,21.9
Adam Vinatieri,2006,0.0,51.0,43.0,39.0,92.2,45.0,45.0,100.0,0.0,99.0,64.3,12.0,86.0,25.6
Adam Vinatieri,2007,1.0,46.0,30.0,24.0,86.1,54.0,52.0,95.6,2.0,96.0,65.2,10.0,85.0,24.5
Adam Vinatieri,2008,1.0,52.0,30.0,25.0,82.4,50.0,50.0,100.0,0.0,97.0,65.6,14.0,79.0,23.4
Adam Vinatieri,2009,0.0,48.0,10.0,7.0,64.3,19.0,18.0,85.7,1.0,0.0,,0.0,0.0,
Adam Vinatieri,2010,1.0,50.0,35.0,33.0,96.9,60.0,60.0,100.0,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2011,1.0,55.0,31.0,26.0,82.2,27.0,27.0,100.0,0.0,1.0,73.0,1.0,0.0,
Adam Vinatieri,2012,2.0,53.0,39.0,31.0,81.0,47.0,47.0,100.0,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2013,1.0,52.0,50.0,44.0,86.3,48.0,48.0,100.0,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2014,0.0,53.0,43.0,39.0,88.3,62.0,62.0,100.0,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2015,0.0,55.0,34.0,32.0,88.2,37.0,34.0,92.6,1.0,0.0,,0.0,0.0,
Adam Vinatieri,2016,0.0,54.0,39.0,34.0,85.1,49.0,48.0,98.2,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2017,1.0,54.0,40.0,34.0,84.7,29.0,26.0,89.5,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2018,0.0,57.0,32.0,27.0,80.7,54.0,50.0,93.4,0.0,0.0,,0.0,0.0,
Adam Vinatieri,2019,2.0,55.0,26.0,18.0,75.8,30.0,24.0,71.8,1.0,0.0,,0.0,0.0,
Ade Schwammel,1935,0.0,41.0,5.0,4.0,75.0,4.0,3.0,83.3,0.0,0.0,,0.0,0.0,
Ade Schwammel,1944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Adi Kunalic,2011,0.0,38.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,5.0,68.3,0.0,5.0,25.5
Al Del Greco,1984,0.0,45.0,12.0,9.0,76.2,34.0,34.0,100.0,0.0,54.0,53.7,1.0,52.0,14.1
Al Del Greco,1985,3.0,46.0,26.0,19.0,72.2,40.0,38.0,95.6,0.0,74.0,53.8,2.0,67.0,22.6
Al Del Greco,1986,2.0,50.0,27.0,17.0,65.7,29.0,29.0,100.0,0.0,62.0,55.5,1.0,60.0,20.5
Al Del Greco,1987,2.0,47.0,30.0,18.0,57.1,40.0,38.0,96.4,0.0,44.0,54.0,2.0,40.0,17.3
Al Del Greco,1988,0.0,51.0,21.0,12.0,59.0,44.0,42.0,94.8,1.0,72.0,56.2,6.0,62.0,21.3
Al Del Greco,1989,1.0,50.0,26.0,18.0,65.2,29.0,28.0,98.6,1.0,62.0,54.1,0.0,55.0,21.1
Al Del Greco,1990,2.0,50.0,27.0,17.0,57.7,31.0,31.0,100.0,0.0,64.0,51.3,2.0,54.0,19.6
Al Del Greco,1991,0.0,53.0,17.0,12.0,66.2,21.0,21.0,100.0,0.0,40.0,57.3,6.0,22.0,13.8
Al Del Greco,1992,0.0,54.0,28.0,22.0,80.6,46.0,46.0,100.0,0.0,83.0,56.6,11.0,68.0,15.8
Al Del Greco,1993,0.0,52.0,36.0,31.0,86.7,42.0,41.0,97.1,0.0,90.0,62.3,25.0,62.0,18.3
Al Del Greco,1994,0.0,50.0,20.0,16.0,71.4,18.0,18.0,100.0,0.0,55.0,51.5,1.0,47.0,17.3
Al Del Greco,1995,0.0,53.0,31.0,27.0,85.0,33.0,33.0,100.0,0.0,81.0,55.9,0.0,76.0,19.1
Al Del Greco,1996,1.0,56.0,38.0,32.0,83.1,35.0,35.0,100.0,0.0,82.0,61.4,2.0,78.0,21.6
Al Del Greco,1997,0.0,52.0,35.0,27.0,78.6,32.0,32.0,100.0,0.0,78.0,60.2,4.0,71.0,21.0
Al Del Greco,1998,0.0,48.0,39.0,36.0,92.3,28.0,28.0,100.0,0.0,1.0,67.0,0.0,1.0,17.0
Al Del Greco,1999,1.0,50.0,36.0,29.0,80.4,51.0,51.0,100.0,0.0,3.0,64.7,0.0,3.0,15.3
Al Del Greco,2000,2.0,50.0,37.0,28.0,77.2,39.0,38.0,97.8,0.0,0.0,,0.0,0.0,
Alan Pringle,1975,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.0,0.0,0.0,0.0,
Aldrick Rosas,2017,2.0,52.0,33.0,26.0,78.5,29.0,26.0,85.4,2.0,75.0,63.2,31.0,40.0,21.0
Aldrick Rosas,2018,0.0,57.0,39.0,38.0,98.2,34.0,33.0,98.7,0.0,95.0,61.9,54.0,35.0,21.1
Aldrick Rosas,2019,0.0,47.0,22.0,17.0,75.0,49.0,45.0,89.8,0.0,94.0,63.2,62.0,30.0,19.3
Aldrick Rosas,2020,1.0,54.0,11.0,8.0,74.2,9.0,9.0,100.0,0.0,20.0,63.3,15.0,5.0,15.8
Aldrick Rosas,2021,0.0,52.0,6.0,3.0,60.0,17.0,16.0,94.4,0.0,22.0,64.8,18.0,4.0,18.5
Alex Henery,2011,0.0,51.0,32.0,28.0,92.2,55.0,55.0,100.0,0.0,102.0,63.3,36.0,62.0,24.1
Alex Henery,2012,0.0,51.0,39.0,32.0,79.8,39.0,38.0,98.2,0.0,92.0,63.3,35.0,54.0,22.1
Alex Henery,2013,0.0,51.0,35.0,28.0,79.9,55.0,55.0,100.0,0.0,112.0,61.9,49.0,61.0,25.6
Alex Henery,2014,0.0,51.0,8.0,2.0,25.0,19.0,19.0,100.0,0.0,17.0,66.9,8.0,9.0,23.8
