PLAYER,SEASON,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
A J Cole,2019,87.0,3996.0,3451.0,74.0,45.9,40.3,0.0,3.0,15.0,42.0,9.0,24.0,36.0,365.0,0.0
A J Cole,2020,44.0,1939.0,1766.0,63.0,44.9,39.9,0.0,6.0,6.0,20.0,2.0,16.0,14.0,133.0,0.0
A J Cole,2021,73.0,3622.0,3077.0,71.0,49.5,41.9,0.0,9.0,5.0,29.0,7.0,18.0,34.0,405.0,0.0
A J Cole,2022,77.0,3737.0,3357.0,67.0,49.2,44.8,0.0,10.0,9.0,34.0,2.0,21.0,35.0,340.0,0.0
A J Cole,2023,84.0,4194.0,3785.0,83.0,49.1,45.1,0.0,16.0,3.0,39.0,6.0,23.0,36.0,289.0,0.0
Adam Podlesh,2007,59.0,2499.0,2199.0,76.0,42.6,37.3,0.0,11.0,9.0,15.0,3.0,6.0,30.0,240.0,0.0
Adam Podlesh,2008,62.0,2617.0,2236.0,60.0,43.3,36.7,0.0,9.0,1.0,16.0,6.0,15.0,31.0,261.0,0.0
Adam Podlesh,2009,78.0,3303.0,3044.0,64.0,42.5,39.2,0.0,6.0,9.0,27.0,5.0,17.0,41.0,159.0,0.0
Adam Podlesh,2010,77.0,3344.0,3051.0,63.0,42.8,39.1,0.0,7.0,15.0,33.0,8.0,22.0,25.0,133.0,0.0
Adam Podlesh,2011,102.0,4421.0,4060.0,70.0,42.7,39.5,0.0,3.0,17.0,26.0,5.0,30.0,47.0,261.0,0.0
Adam Podlesh,2012,88.0,3718.0,3382.0,64.0,42.2,37.6,0.0,9.0,19.0,35.0,7.0,25.0,28.0,196.0,1.0
Adam Podlesh,2013,82.0,3358.0,3128.0,65.0,41.9,39.0,1.0,11.0,16.0,31.0,3.0,27.0,24.0,170.0,0.0
Alan Herline,1987,26.0,861.0,717.0,50.0,34.8,29.4,1.0,3.0,6.0,1.0,4.0,5.0,7.0,64.0,0.0
Alex Waits,1991,14.0,474.0,470.0,50.0,33.0,32.8,0.0,2.0,4.0,2.0,0.0,3.0,5.0,4.0,0.0
Andy Groom,2005,11.0,429.0,383.0,57.0,38.6,34.0,0.0,1.0,2.0,2.0,1.0,1.0,6.0,26.0,0.0
Andy Lee,2004,96.0,3990.0,3385.0,81.0,41.5,35.1,0.0,6.0,14.0,25.0,8.0,17.0,51.0,445.0,0.0
Andy Lee,2005,108.0,4447.0,3916.0,58.0,41.8,36.8,1.0,8.0,14.0,15.0,3.0,20.0,62.0,471.0,0.0
Andy Lee,2006,81.0,3625.0,2983.0,66.0,43.7,36.0,0.0,9.0,9.0,22.0,9.0,19.0,35.0,462.0,1.0
Andy Lee,2007,105.0,4968.0,4306.0,74.0,47.4,41.2,0.0,3.0,20.0,42.0,13.0,16.0,53.0,402.0,1.0
Andy Lee,2008,78.0,3575.0,2928.0,82.0,46.4,37.9,2.0,2.0,8.0,15.0,10.0,12.0,44.0,447.0,1.0
Andy Lee,2009,117.0,5531.0,4678.0,64.0,47.4,40.1,0.0,3.0,19.0,34.0,10.0,16.0,69.0,653.0,0.0
Andy Lee,2010,111.0,5113.0,4246.0,64.0,46.6,38.7,0.0,2.0,14.0,42.0,12.0,16.0,67.0,627.0,1.0
Andy Lee,2011,108.0,5312.0,4574.0,68.0,49.3,42.9,1.0,1.0,19.0,36.0,10.0,21.0,56.0,538.0,1.0
Andy Lee,2012,91.0,4397.0,3841.0,66.0,48.5,42.3,0.0,3.0,10.0,46.0,8.0,19.0,51.0,396.0,2.0
Andy Lee,2013,102.0,4818.0,4130.0,62.0,47.6,39.6,0.0,5.0,10.0,32.0,13.0,24.0,50.0,428.0,0.0
Andy Lee,2014,86.0,3954.0,3402.0,71.0,47.0,40.1,1.0,4.0,4.0,30.0,8.0,24.0,45.0,392.0,1.0
