PLAYER,SEASON,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
A J Brown,2019,58.0,1125.0,17.7,91.0,8.0,4.0,69.0,17.2,49.0,1.0,2.0,0.0
A J Brown,2020,76.0,1158.0,15.7,73.0,12.0,0.0,0.0,,,0.0,2.0,1.0
A J Brown,2021,68.0,1011.0,15.2,57.0,6.0,2.0,10.0,5.0,7.0,0.0,0.0,0.0
A J Brown,2022,101.0,1642.0,15.4,78.0,12.0,0.0,0.0,,,0.0,2.0,2.0
A J Brown,2023,106.0,1456.0,12.8,59.0,7.0,0.0,0.0,,,0.0,2.0,2.0
A J Derby,2016,31.0,349.0,11.4,26.0,1.0,0.0,0.0,,,0.0,1.0,1.0
A J Derby,2017,23.0,256.0,9.3,29.0,2.0,0.0,0.0,,,0.0,1.0,1.0
A J Derby,2018,5.0,62.0,12.4,19.0,1.0,0.0,0.0,,,0.0,0.0,0.0
A J Green,2011,79.0,1200.0,17.2,58.0,8.0,6.0,63.0,10.1,22.0,0.0,2.0,1.0
A J Green,2012,106.0,1506.0,14.8,73.0,12.0,4.0,38.0,9.2,20.0,0.0,2.0,1.0
A J Green,2013,104.0,1502.0,14.7,82.0,11.0,0.0,0.0,,,0.0,1.0,0.0
A J Green,2014,79.0,1225.0,16.3,81.0,6.0,2.0,2.0,1.0,5.0,0.0,3.0,2.0
A J Green,2015,96.0,1427.0,15.4,80.0,11.0,0.0,0.0,,,0.0,1.0,1.0
A J Green,2016,72.0,1017.0,13.1,54.0,4.0,0.0,0.0,,,0.0,0.0,0.0
A J Green,2017,84.0,1181.0,13.2,77.0,8.0,0.0,0.0,,,0.0,2.0,2.0
A J Green,2018,53.0,801.0,14.6,38.0,7.0,0.0,0.0,,,0.0,2.0,1.0
A J Green,2019,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Green,2020,47.0,523.0,10.9,33.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Green,2021,54.0,848.0,16.0,42.0,3.0,0.0,0.0,,,0.0,0.0,0.0
A J Green,2022,24.0,236.0,8.8,77.0,2.0,0.0,0.0,,,0.0,0.0,0.0
A J Jenkins,2012,8.0,122.0,17.0,32.0,1.0,2.0,18.0,9.0,9.0,0.0,0.0,0.0
A J Jenkins,2013,12.0,182.0,15.3,48.0,0.0,2.0,6.0,3.0,5.0,0.0,1.0,1.0
A J Jenkins,2014,11.0,144.0,14.4,45.0,0.0,2.0,-2.0,-1.0,0.0,0.0,1.0,0.0
A J Ofodile,1997,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Ofodile,1998,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Ofodile,1999,4.0,25.0,6.2,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Richardson,2019,5.0,67.0,13.4,28.0,1.0,0.0,0.0,,,0.0,0.0,0.0
A T Perry,2023,24.0,350.0,18.0,44.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Burbridge,2016,12.0,124.0,11.3,24.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Burbridge,2017,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Burbridge,2018,1.0,16.0,16.0,16.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Cox,1988,28.0,590.0,25.6,69.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Cox,1989,20.0,340.0,16.7,51.0,3.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Cox,1990,17.0,266.0,16.6,32.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Cox,1991,15.0,216.0,15.6,39.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Cox,1992,18.0,261.0,14.7,26.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Cox,1993,4.0,59.0,14.8,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Dobson,2013,50.0,702.0,14.6,81.0,4.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Dobson,2014,6.0,95.0,14.2,33.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Dobson,2015,19.0,248.0,12.1,40.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Dobson,2016,9.0,147.0,16.0,38.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Fuller,2021,5.0,61.0,13.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Halterman,2007,1.0,7.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Hernandez,2010,53.0,639.0,13.4,46.0,7.0,4.0,53.0,13.2,18.0,0.0,0.0,0.0
Aaron Hernandez,2011,114.0,1276.0,11.0,46.0,10.0,13.0,115.0,7.9,43.0,0.0,3.0,2.0
