PLAYER,SEASON,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
A B Brown,1989,12.0,63.0,5.7,17.0,0.0,4.0,10.0,2.5,6.0,0.0,0.0,0.0
A B Brown,1990,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A B Brown,1991,3.0,4.0,1.5,2.0,1.0,0.0,0.0,,,0.0,2.0,1.0
A B Brown,1992,24.0,42.0,0.9,9.0,0.0,4.0,30.0,8.0,20.0,0.0,1.0,0.0
A D Whitfield,1965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A D Whitfield,1966,93.0,472.0,5.8,63.0,2.0,18.0,101.0,4.9,29.0,1.0,3.0,0.0
A D Whitfield,1967,91.0,384.0,4.1,44.0,1.0,36.0,494.0,15.1,53.0,2.0,2.0,0.0
A D Whitfield,1968,37.0,125.0,3.1,17.0,0.0,13.0,107.0,8.6,18.0,0.0,3.0,0.0
A J Dillon,2020,55.0,286.0,5.7,30.0,2.0,3.0,34.0,11.3,16.0,0.0,1.0,0.0
A J Dillon,2021,206.0,875.0,4.1,36.0,6.0,37.0,329.0,9.0,50.0,2.0,2.0,1.0
A J Dillon,2022,186.0,770.0,4.2,27.0,7.0,28.0,206.0,7.5,17.0,0.0,1.0,0.0
Aaron Brown,2009,42.0,200.0,5.3,19.0,0.0,12.0,99.0,9.2,26.0,1.0,0.0,0.0
Aaron Brown,2010,37.0,150.0,4.9,19.0,2.0,11.0,82.0,8.7,16.0,0.0,0.0,0.0
Aaron Brown,2011,24.0,64.0,2.2,17.0,0.0,13.0,127.0,9.5,16.0,1.0,0.0,0.0
Aaron Craver,1991,20.0,58.0,2.0,7.0,1.0,8.0,67.0,7.8,25.0,0.0,2.0,2.0
Aaron Craver,1992,13.0,94.0,6.2,25.0,1.0,3.0,28.0,10.2,13.0,0.0,1.0,0.0
Aaron Craver,1994,8.0,56.0,7.4,19.0,0.0,30.0,280.0,7.7,28.0,0.0,1.0,0.0
Aaron Craver,1995,73.0,333.0,3.8,23.0,5.0,43.0,369.0,8.9,32.0,1.0,1.0,1.0
Aaron Craver,1996,59.0,232.0,2.6,28.0,2.0,42.0,314.0,7.2,39.0,1.0,1.0,1.0
Aaron Craver,1997,20.0,71.0,3.2,22.0,0.0,4.0,26.0,8.7,20.0,0.0,0.0,0.0
Aaron Craver,1998,45.0,180.0,3.8,25.0,2.0,33.0,214.0,7.5,49.0,2.0,2.0,1.0
Aaron Craver,1999,17.0,40.0,2.2,8.0,0.0,19.0,154.0,8.8,29.0,0.0,1.0,1.0
Aaron Green,2016,23.0,111.0,5.0,26.0,1.0,9.0,76.0,8.1,12.0,1.0,0.0,0.0
Aaron Green,2017,11.0,20.0,1.8,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Aaron Hayden,1995,146.0,550.0,3.7,20.0,3.0,5.0,53.0,9.5,16.0,0.0,0.0,0.0
